Tid (s),C1,C2
1,49,48.5
2,49.3,48.4
3,49.3,48.5
4,49.1,48.5
5,49.6,49.4
6,49.4,49.7
7,49.1,49.1
8,50.6,49.4
9,50.5,49.9
10,51.3,50.5
11,51.1,51
12,51.1,51.6
13,52.4,52
14,52.1,52.8
15,52.4,54.1
16,52.3,53.4
17,52.9,53.5
18,53.1,53.7
19,53.3,53
20,52,52.4
21,51.8,52.3
22,51.7,52.2
23,51.5,52
24,51.6,51.8
25,51.6,52.5
26,51.3,52.4
27,50.8,51.6
28,50.1,51
29,50.1,50.9
30,50.8,50.3
31,51.1,49.7
32,50.9,50.1
33,50,49.6
34,49.1,49.1
35,49.1,48.7
36,54.8,52.2
37,48.7,49.5
38,49,49.7
39,49.4,49.7
40,49.9,50.1
41,49.6,50.3
42,48.7,49.7
43,49.4,49.7
44,50,48.9
45,49,48.9
46,49.1,48.5
47,49,48.7
48,49.6,48.2
49,50.4,48.1
50,49.1,48.5
51,48.5,48.9
52,49.1,48.6
53,48.9,48.6
54,48.6,48.4
55,48,48.6
56,47.7,48.1
57,47.6,49
58,47.1,47.9
59,46.6,46.8
60,46.1,46.1
61,46.3,45.6
62,46.1,45.7
63,47,46.2
64,47.3,45.9
65,47.3,45.7
66,47.4,45.4
67,47.1,45.8
68,48.3,46.1
69,49,47.4
70,49.1,47.7
71,48.8,48.4
72,50.4,48.6
73,50.2,49.3
74,50.5,50.2
75,50.9,50.7
76,51.5,51.5
77,51.2,51.3
78,50.9,52.5
79,51.3,51.7
80,52.6,51.3
81,52.3,51.6
82,51,51.1
83,50.1,51.1
84,50.9,50.8
85,51.4,50.5
86,50.9,50.2
87,49.9,50.1
88,49,50.5
89,49,50.1
90,48.6,49.6
91,48.8,49.8
92,48.6,49.3
93,49.1,49
94,49,49.7
95,48.8,48.6
96,48,48.3
97,48.4,48.6
98,48.6,48.7
99,48,48.8
100,48.7,47.9
101,49.2,48
102,48.8,47.8
103,47,46.6
104,47.3,46.1
105,50.2,47.4
106,49.8,47.8
107,48.7,47.7
108,49.8,47.8
109,48.5,47.4
110,47.5,47.5
111,47.5,47.3
112,51.3,49.2
113,51.4,49
114,48.7,48
115,51.1,48.5
116,52.1,49.2
117,50.3,48.5
118,49.5,47.5
119,50.3,49
120,50.6,49.1
121,51.3,50
122,51.2,51.4
123,51.5,51
124,50.5,51
125,50.2,50.9
126,50.5,51.1
127,50.1,50.3
128,50.6,50.5
129,50.7,49.5
130,51.2,49.1
131,52.3,48.6
132,51.6,48.6
133,49.9,48.4
134,50.1,48.6
135,50.3,49.4
136,50.6,49.4
137,51,49.5
138,50.9,50.1
139,50.7,50.6
140,51,51.3
141,51.6,51.7
142,51.6,52.8
143,52,53
144,53,52.5
145,53.4,52.6
146,52.6,52.3
147,53.4,52.3
148,51.6,51.9
149,51.6,52
150,51.3,51.6
151,51.4,51.8
152,51.7,52
153,51.5,51.6
154,51,51.7
155,50.8,51.2
156,50.5,50.8
157,50.4,51.1
158,50.6,50.4
159,50.6,50.2
160,49.6,49.6
161,48.8,49.3
162,49.2,49.1
163,48.7,48.9
164,48.7,48.6
165,48.1,48.6
166,48.3,47.5
167,48,47.4
168,47.6,47.1
169,46.5,46.5
170,46.3,46
171,46.2,46.2
172,45.3,44.4
173,44.5,44
174,45,42.7
175,47,44.5
176,44.9,43.6
177,44.8,43.3
178,44,43.3
179,44,43.8
180,44.6,44.1
181,45.9,44.8
182,46,44.9
183,46.4,45.3
184,46.9,46.4
185,48.1,46.7
186,49.1,46.6
187,48.8,47.1
188,48.5,47.1
189,48.5,47.9
190,49.4,48.8
191,49.3,49
192,49.9,49.9
193,50,50.2
194,50.3,50.9
195,50.2,50.9
196,50.9,51.1
197,49.9,51.1
198,49.7,50.9
199,50.5,50.9
200,50.5,50.8
201,49.8,50.2
202,48.9,49.9
203,49.1,49.2
204,50.3,48.7
205,51,48.7
206,49.8,48
207,49,47.5
208,48.4,47
209,48.9,46.7
210,48,46.4
211,47.5,46.3
212,48.1,46.9
213,48.9,47.5
214,48.9,47.8
215,49.2,48.7
216,49.8,49
217,49.7,49.5
218,51.2,50.4
219,52.7,50.9
220,53.2,51.2
221,53.5,52.2
222,52.8,53.5
223,52.2,52.8
224,52.6,54.4
225,52.2,53.3
226,54.6,53.4
227,52.2,53.4
228,51.4,52.9
229,50.8,52.4
230,51.1,51.7
231,50.5,51.5
232,50,51.5
233,49.9,50.8
234,49.5,50.5
235,50,50.2
236,49.8,49.6
237,49.6,49.2
238,49.1,48.4
239,49,48.1
240,48.7,47.3
241,48.1,48.4
242,49.5,47.8
243,50.8,47.9
244,50.6,48.2
245,49.5,48.3
246,50.2,49.4
247,50.8,50.4
248,50.5,49.8
249,50.5,51
250,49.9,50.6
251,48.7,50.7
252,49.5,50.2
253,48.4,48.9
254,47.6,48.6
255,48.2,48.8
256,49.1,48.9
257,50.1,48.6
258,50.2,49.1
259,50.9,50.1
260,51,50.7
261,51.4,51.3
262,51.4,50.6
263,51.5,52.2
264,51.2,51.4
265,51.4,51.5
266,51.4,51.6
267,51.9,52.2
268,51.8,52.2
269,51.1,51.5
270,51.1,51.8
271,50.3,52
272,50.4,51.4
273,50.3,51.4
274,50,50.7
275,49.6,49.9
276,48.4,49.1
277,47.7,48.8
278,48.5,48.3
279,48.9,49.5
280,49.1,49.2
281,49.5,49.4
282,50.3,49.1
283,48.8,48.9
284,48.1,48.8
285,47.8,48.1
286,49.5,48.6
287,48.6,48.8
288,47.9,48.7
289,48.1,48.3
290,47.9,47.7
291,48,46.9
292,46.9,46
293,46.1,47.5
294,47.2,47.1
295,45.5,43.8
296,44.3,43.3
297,44.3,42.5
298,47.1,41.1
299,45.9,41
300,42.3,40.4
301,42.7,41.6
302,43.9,42.3
303,44.2,43.1
304,44.2,43.1
305,44,43.4
306,44.1,42.8
307,43.8,44.5
308,44.1,43.5
309,45.9,43.5
310,46.1,44.1
311,46.2,44.8
312,47.7,45.4
313,48.3,46
314,48.4,46.7
315,47.7,46.5
316,48.4,47.9
317,49,48.5
318,49.2,48.9
319,48.9,50.2
320,48.7,49.8
321,48.6,49
322,48.3,49.1
323,47.5,49
324,47.9,49
325,48.1,48.8
326,48.4,48.6
327,49.9,49.1
328,49.4,49.4
329,49.3,48.2
330,49.3,49.2
331,49.2,49.4
332,49.7,50.7
333,50.1,52.6
334,49.9,52.2
335,49.4,50.9
336,49,50.5
337,49.1,50.4
338,49.2,50.4
339,49.5,50.4
340,49.7,50.4
341,49.5,50.1
342,49.3,49.7
343,50.3,50.4
344,50.1,50.5
345,49.2,49.9
346,48.5,49.4
347,49.7,49.6
348,49.1,49.1
349,49.9,49.2
350,48.8,49.1
351,49.1,49.1
352,49.3,49.9
353,49.7,49.6
354,49.4,49.3
355,48.8,49.4
356,49.3,49.4
357,48.6,49.1
358,48.4,48.8
359,48.1,48.7
360,47.9,48.8
361,47.4,48.3
362,47,48
363,46.9,47.9
364,46.8,48.1
365,48.1,48.4
366,48.2,48.6
367,48.3,48.8
368,47.7,47.7
369,47.4,47.7
370,47.4,48
371,47.7,48.6
372,48.2,49.2
373,48.4,49.1
374,49.2,49
375,49.7,50.2
376,51,50.3
377,50.7,50.8
378,50.5,50.8
379,50.7,51.3
380,50.7,52.1
381,51.9,51.5
382,51.5,51.7
383,51.3,52.8
384,51.3,52.2
385,51.5,51.2
386,50.4,51.3
387,50.3,51.1
388,50.8,50.7
389,51.3,50.9
390,51.5,50.9
391,51.2,51.6
392,51.4,51.2
393,51.9,51.4
394,52,51.4
395,51.9,51.5
396,51.5,51.7
397,51.7,52.3
398,51.8,53.2
399,52.2,53.3
400,53.2,53.9
401,52.7,54.7
402,53,54.9
403,52.6,54.6
404,52.7,54.5
405,52.8,54
406,52,53
407,52,52.7
408,51.4,53
409,51.5,52.3
410,51.7,54
411,51.2,53.4
412,52.3,53.5
413,51.7,54.2
414,51.1,53.7
415,50.7,52.1
416,51.1,51.7
417,51.1,51.3
418,51.7,50.6
419,50.6,51.6
420,51.6,51.4
421,52.5,51.3
422,52.6,54.2
423,53.7,55.2
424,53.5,55.2
425,52.6,55.3
426,53.6,55.6
427,55.1,56.8
428,55.1,55.9
429,50.6,52
430,53.4,53.5
431,54.7,53.6
432,51.8,53.1
433,51,52
434,51.1,52
435,51.3,51.9
436,49.7,50.7
437,49,50.8
438,50.1,52.3
439,50.4,51.9
440,50.8,51.6
441,50.7,51.8
442,51.3,52.9
443,51.3,52.4
444,50.3,51.8
445,50.8,51.7
446,52.1,52.1
447,52.6,50.8
448,52.2,50.5
449,52,50.1
450,52,50.1
451,53.1,50.6
452,53.1,51.3
453,52.1,51.1
454,52.7,50.8
455,52.4,51.2
456,51,50.8
457,50.2,51
458,49.5,50.5
459,50.5,50.6
460,49.4,51.1
461,49,50.4
462,48.7,50.6
463,49.3,50.4
464,49.2,50.1
465,48.6,49.3
466,49.5,49.9
467,50.3,48.8
468,50,49.1
469,49.3,48.2
470,48.2,47.5
471,48.3,47.6
472,49.1,47.9
473,49.6,47.8
474,49.6,47.7
475,49.8,49
476,50.8,48.9
477,50.3,48.8
478,50.9,49.7
479,51.4,50.2
480,51,50.6
481,50.9,50.8
482,50.9,52
483,50.8,51
484,51.1,51.2
485,49.3,50.8
486,49.3,50
487,50,49.2
488,51,49.4
489,50.1,49.4
490,51.7,48.7
491,52.7,49.7
492,52.5,49.8
493,50.4,49.8
494,50.8,51.1
495,51.4,50.2
496,51.4,50.1
497,51.6,50.4
498,51.9,50.9
499,51.6,52.3
500,52.3,51.7
501,52.2,52
502,51.8,52.4
503,50.6,51.5
504,50.8,51.6
505,50.6,51.8
506,50.9,51.8
507,50.2,51.6
508,50,51.4
509,50,51.7
510,49.9,51.3
511,50,51.3
512,49.9,51.2
513,50.4,51.3
514,51.2,51
515,51.2,51.1
516,50.6,50.9
517,51.1,50.9
518,51.1,50.8
519,50.8,50.7
520,51.1,50.8
521,50.5,50.7
522,50.3,50.2
523,49.9,49.9
524,50,49.8
525,48.6,49.2
526,48.7,49.3
527,48.6,49.5
528,48.3,49.6
529,47.6,48.9
530,47.9,48.8
531,47.4,49.2
532,47.1,48.4
533,46.4,48.5
534,46.5,48.7
535,46.9,48.8
536,47.5,47.3
537,46.5,47.6
538,46.2,46.7
539,46.1,46.2
540,45.7,46.1
541,45.7,46.3
542,46.6,46.5
543,46.3,46.9
544,45.5,45.8
545,49.3,47.4
546,49.1,46.9
547,47.8,46.1
548,47.4,47.2
549,48.2,47.2
550,48.2,47.1
551,48.1,47.6
552,48,49
553,47.7,47.8
554,48.2,49.5
555,48.9,49.3
556,49,49.4
557,49.5,49.9
558,50.1,49.8
559,49.1,50.4
560,49.4,49.9
561,49.6,50.5
562,49.4,50.6
563,49.3,50.1
564,48.5,49.7
565,48.4,49.1
566,48.2,49.3
567,48.3,48.4
568,48.5,48
569,48.2,47.2
570,47.9,48.1
571,48.9,47.8
572,49.1,48.6
573,49,49.2
574,49.6,49.5
575,48.9,49.3
576,49.3,49.4
577,49.4,49.8
578,49.7,50
579,49.5,50.2
580,49.7,50.4
581,49.6,50.8
582,50.6,51.3
583,50.5,51.2
584,50.5,50.8
585,50.4,51.2
586,50,50.3
587,50.1,50.8
588,50.2,50.5
589,50.4,50.1
590,50.2,50.7
591,50.3,50.5
592,50,50.1
593,49.9,50.2
594,50.3,50.1
595,50,50.2
596,49,49.3
597,49.2,49.3
598,49.7,49
599,49,49
600,49.3,49.3
601,48.9,49
602,49.1,48.7
603,49,48.6
604,48.6,48.6
605,48,48
606,47.6,48.2
607,47.4,48.1
608,46.5,47.6
609,46.2,47.4
610,45.7,47.3
611,45.5,47.1
612,45.8,46
613,45.3,46.5
614,44.9,45.6
615,45.3,44.7
616,45,44
617,44.4,45.4
618,44.7,44.7
619,45.1,43.6
620,44.6,43.4
621,44.7,42.9
622,44.5,42.7
623,44.4,42.7
624,44.5,43.5
625,44.4,43.3
626,44.3,44.5
627,44.9,45.1
628,45.6,45.4
629,46.8,47
630,48.5,48.1
631,49.5,48.5
632,51.7,49.2
633,51.9,48.3
634,49,47.9
635,49.5,48.9
636,49.7,49
637,49.5,49.2
638,50.1,49.8
639,50.5,50.2
640,50.1,50.6
641,50.7,51
642,50.4,51.3
643,50.2,51.5
644,50.4,51.7
645,50.5,51.6
646,50.6,52.1
647,50.9,51.9
648,50.9,51.5
649,50.2,51.6
650,49.8,50.8
651,49.5,50.8
652,49.2,50
653,49.1,50
654,49.3,50
655,49.2,49.3
656,48.5,48.5
657,48.5,49
658,48.3,48.6
659,47.3,48.5
660,47,48.5
661,47,48.3
662,46.7,47.7
663,46.2,47.5
664,48.1,47.4
665,47.1,46.9
666,47.3,46.7
667,47.2,45.9
668,46.3,46
669,46.6,45.9
670,47.4,45.9
671,46.8,47.2
672,46.9,46.8
673,47.1,47.1
674,47.6,47.7
675,47.2,47.9
676,46.6,48
677,47,48
678,47.2,49.4
679,46.6,48.5
680,46.6,47.3
681,46.7,46.7
682,47.1,47.7
683,46.9,47.5
684,47.5,47.7
685,47.4,48
686,46.8,47.4
687,46.5,47.4
688,46.9,47.3
689,47,47.6
690,48.3,48.7
691,48.5,49.8
692,49.3,49.9
693,50,49.8
694,49.5,49.4
695,50.1,49.8
696,50.6,49.8
697,50.1,50
698,50.2,49.8
699,49.7,50.7
700,50.7,51.2
701,50.8,51.5
702,50.7,51.8
703,50.4,52
704,50.7,52.1
705,53.1,51.8
706,50.5,51.5
707,50.3,51.7
708,50.8,51.8
709,51.5,51.3
710,52.1,51.6
711,51.9,51.7
712,51.9,51
713,51.6,51
714,51.2,51.1
715,50.8,50.5
716,50.9,50.2
717,50.1,50.2
718,49.5,49.9
719,49,48.7
720,48.1,48
721,47.4,47.8
722,46.7,47.1
723,46.5,46.8
724,47.2,47.8
725,45.6,46.1
726,45.7,46
727,45.4,46.1
728,45.5,46.1
729,45.5,46.5
730,46.2,46.6
731,46.8,47
732,46.9,47.3
733,47.5,47.3
734,47.7,47.4
735,48.3,47.7
736,48.8,48.1
737,48.8,48.6
738,49.1,49.4
739,49.6,50.6
740,50,50.3
741,50.5,50.4
742,50.1,50
743,48.3,49.3
744,48,49.3
745,47.6,49.6
746,48.1,48.9
747,47.9,49.7
748,48.6,50
749,48.9,49.9
750,48.9,50.3
751,49.1,50.2
752,49.7,50.4
753,49.8,50.3
754,49.8,50.3
755,49.3,50.9
756,50.3,50.9
757,50.4,50
758,50.1,50.1
759,49.9,50
760,49.5,49.5
761,49.1,49.1
762,49.5,48.8
763,49.3,49.2
764,49.2,49.3
765,49.8,50
766,49.3,49.7
767,49.4,51
768,49.1,50.3
769,49.1,50.2
770,48.9,50.3
771,48.7,50.4
772,49,50.5
773,49.8,50.5
774,48.6,50.1
775,48.3,49.6
776,47.9,48.8
777,47.8,48.2
778,47.7,48.4
779,48,49.7
780,48.3,48.7
781,47.8,49
782,48.2,48.7
783,48.1,48.7
784,48.6,48.6
785,48.8,48.5
786,48.7,48.5
787,49.3,49.4
788,49.3,49
789,49.3,50
790,50,50.1
791,50.3,50.5
792,50.1,50.3
793,49.9,51
794,49.4,51
795,49.3,50.2
796,49.2,50.1
797,48.9,49.8
798,48.7,50.1
799,48.4,49.6
800,48.1,49.2
801,48.2,49.4
802,47.3,48
803,46.7,47.3
804,46.5,46.8
805,45.5,45.9
806,45.3,46.3
807,45.3,46.2
808,45.4,46.2
809,45.4,46.8
810,46.8,47.7
811,45.9,46.6
