Tid (s),C1,C2
1,48.8,47.9
2,48.8,47.8
3,48.7,48.1
4,48.8,48
5,49,48.6
6,48.7,48.7
7,48.6,48.4
8,49.9,48.9
9,50.3,49.5
10,50.7,49.7
11,50.5,50.3
12,50.6,51.3
13,51.1,51.4
14,51.5,52
15,51.9,53.5
16,51.6,52.9
17,52.3,52.8
18,52.7,52.9
19,52.4,52.5
20,51.6,51.9
21,51,51.8
22,51,52
23,51.1,51.3
24,50.9,51.3
25,50.9,52.1
26,50.9,51.7
27,49.8,50.7
28,49.6,50.6
29,49.5,50.2
30,49.9,49.9
31,50,49.2
32,50,49.5
33,49,48.9
34,48.7,48.5
35,48.6,48.3
36,51,49.6
37,48.1,48.6
38,48.6,49.3
39,48.6,49.1
40,49.3,49.6
41,48.8,49.7
42,48.2,49.4
43,48.9,48.7
44,48.8,48.4
45,48.5,48.1
46,48.1,48
47,48.4,48
48,48.6,47.6
49,48.4,47.9
50,47.8,48.1
51,47.9,48.3
52,48.1,47.8
53,48.2,48.1
54,47.8,47.9
55,47.5,48.1
56,47.1,47.6
57,47.2,48.3
58,46.4,46.8
59,46,46.2
60,45.8,45.4
61,45.9,45.1
62,45.6,45.3
63,46.3,45.7
64,46.7,45.3
65,47.1,45.3
66,46.8,44.9
67,46.7,45.1
68,47.9,45.7
69,48.3,46.8
70,48.5,47.2
71,48.3,48.1
72,49.4,48.2
73,49.6,48.9
74,50,49.7
75,50.3,50.2
76,50.6,50.7
77,50.6,50.7
78,50.5,51.7
79,50.8,51.1
80,51,50.9
81,51.2,50.9
82,49.5,50.5
83,49.6,50.5
84,49.8,50.4
85,50.4,50.1
86,48.8,49.8
87,49,49.9
88,48.4,49.9
89,48.5,49.7
90,48,49.1
91,48.5,49.3
92,48.2,48.9
93,48.3,48.6
94,48.2,48.6
95,47.5,47.9
96,47.6,47.9
97,47.9,48.1
98,47.9,48.3
99,47.5,47.5
100,47.7,47.3
101,48.4,47.6
102,47.6,47
103,46.5,46.1
104,46.8,45.7
105,49.3,46.4
106,48.8,47.3
107,48,47.1
108,48.6,47.2
109,46.4,46.8
110,46.9,47
111,46.9,46.8
112,50.4,48.3
113,49.6,48.4
114,48.1,47.4
115,50.5,48
116,51,48.5
117,49.4,47.8
118,49.1,46.9
119,49.6,48
120,50.2,48.5
121,50.5,49.3
122,50.5,50.6
123,50.7,49.8
124,50,50.6
125,49.6,50.3
126,50,50.1
127,49.2,49.7
128,50.1,49.6
129,50.2,48.8
130,50.2,48.5
131,51.8,48.3
132,50.1,48.2
133,49.3,48
134,49.5,48.1
135,49.7,49
136,50.2,48.9
137,50.6,49.2
138,50.3,49.8
139,50.2,50.1
140,50.5,50.8
141,51,51.3
142,50.9,52
143,51.5,52.2
144,51.8,52.1
145,52,52.1
146,51.9,51.8
147,52.2,51.8
148,51.1,51.5
149,50.8,51.4
150,50.8,51.1
151,50.7,51.4
152,51.3,51.3
153,50.7,51.1
154,50.6,51.1
155,50.1,50.7
156,50.2,50.4
157,49.9,50.4
158,50.2,50
159,49.5,49.3
160,48.7,49.3
161,48.4,48.6
162,48.4,48.6
163,48,48.1
164,48.2,47.9
165,47.6,47.9
166,47.6,47
167,47.3,47
168,46.5,46.3
169,45.8,45.6
170,45.7,45.4
171,45.3,44.9
172,44.3,44
173,43.7,43
174,44.1,42.3
175,45.8,43.7
176,44.2,42.7
177,43.9,43
178,43.6,42.4
179,43.4,43.3
180,44.1,43.6
181,45.1,44.3
182,45.3,44.2
183,45.9,44.8
184,46.4,45.8
185,47.7,46.1
186,48.5,46.2
187,48.3,46.6
188,47.9,46.5
189,48.1,47.1
190,49,48.4
191,48.9,48.6
192,49.3,49.4
193,49.6,49.7
194,49.7,50.4
195,49.5,50.4
196,50,50.6
197,49.4,50.6
198,49.4,50.5
199,49.7,50.1
200,49.1,50.1
201,49,49.8
202,48.5,49.3
203,48.6,48.5
204,49.5,48.3
205,49.8,48.1
206,48.6,47.3
207,47.6,46.6
208,47.7,46.4
209,48.2,46.1
210,47.3,45.9
211,47.1,45.9
212,47.7,46.5
213,47.8,47
214,48.4,47.6
215,48.6,48.2
216,49.4,48.5
217,49.2,49
218,50.4,49.7
219,52.2,50.5
220,52.5,50.8
221,52.7,51.5
222,52.2,52.7
223,51.6,52.5
224,51.8,53.6
225,51.1,52.9
226,51.9,52.8
227,51,52.9
228,50.8,52.3
229,50.2,51.6
230,50.1,51.3
231,49.8,51.2
232,49.5,51
233,49.2,50.1
234,49.1,50.1
235,49.7,49.5
236,49.5,49.1
237,48.7,48.2
238,48.7,47.9
239,48.5,47.4
240,47.5,46.8
241,47.5,47.7
242,48.6,47
243,49.7,47.5
244,49.1,47.5
245,49,47.6
246,49.8,48.9
247,49.9,49.1
248,49.8,49.1
249,49.5,50.3
250,49,49.8
251,48,50.1
252,48,49.1
253,47,48.4
254,47,48.1
255,47.5,48.3
256,48.1,48.3
257,49.3,48.2
258,49.7,48.6
259,50.3,49.5
260,50.6,49.9
261,51,50.4
262,50.6,50.1
263,51.1,51.6
264,50.7,50.8
265,50.9,51.2
266,51,51.2
267,51.3,51.7
268,50.6,51.4
269,50.5,51
270,50.4,51.2
271,49.4,51.4
272,49.7,51
273,49.9,50.9
274,49.4,49.9
275,48.5,49.3
276,47.8,48.2
277,47.3,48.3
278,47.8,47.9
279,48.2,49
280,48.5,48.7
281,48.9,49.1
282,49.5,48.4
283,47.7,48.1
284,47.2,47.5
285,47,47.5
286,48.2,48.2
287,48,48.3
288,47.2,48.1
289,47.3,46.9
290,47.2,46.8
291,46.9,46.2
292,46,45.2
293,45.4,45.7
294,45.9,44.2
295,44.6,43.2
296,43.8,42.2
297,43.5,41.8
298,44.1,40.8
299,42.9,40.4
300,42.1,40
301,42.3,40.8
302,43.3,41.7
303,43.6,42.6
304,43.5,42.5
305,43.5,42.9
306,43.6,42.3
307,43.4,43.5
308,43.7,42.8
309,45,43.3
310,45.3,43.7
311,45.8,44.3
312,46.7,45.1
313,47.7,45.5
314,47.9,46.1
315,47.2,45.9
316,48,47.1
317,48.5,48.1
318,48.5,48.2
319,48.6,49.4
320,47.8,49
321,48,48.6
322,47.8,48.9
323,46.9,48.5
324,47.5,48.6
325,47.5,48.4
326,47.7,48.1
327,49.1,48.5
328,48.8,48.5
329,48.8,47.7
330,48.7,48.6
331,48.7,48.8
332,49.1,49.9
333,49.8,51.8
334,49.3,50.7
335,49.1,50.4
336,48.5,50
337,48.6,49.9
338,48.7,49.9
339,48.9,49.7
340,49.3,49.9
341,49.2,49.6
342,48.7,49.4
343,49.5,49.9
344,49.2,49.6
345,48.6,49.1
346,48,48.6
347,48.7,48.4
348,48.6,48.6
349,48.8,48.4
350,48.4,48.6
351,48.8,48.5
352,49,49.3
353,49.1,49.1
354,48.4,48.6
355,48.5,49.1
356,48.3,48.9
357,48.1,48.6
358,47.6,48.3
359,47.5,48.1
360,47.5,48.4
361,46.9,47.8
362,46.7,47.7
363,46.5,47.4
364,46.4,47.5
365,47.3,47.9
366,47.6,48.1
367,47.4,47.4
368,47.2,47.3
369,46.9,47.5
370,46.7,47.6
371,46.8,47.9
372,47.6,48.8
373,47.9,48.6
374,49,48.8
375,49.3,49.5
376,50.3,49.8
377,50.2,50.2
378,50.2,50.3
379,49.8,50.7
380,50.1,51.2
381,50.6,51
382,50.3,51
383,50.7,51.9
384,50.6,51.2
385,51,50.9
386,49.9,50.6
387,50,50.6
388,50.4,50.2
389,50.9,50.5
390,51,50.4
391,50.9,50.9
392,51.1,50.8
393,51.4,50.9
394,51.5,51
395,51.2,50.9
396,50.8,51
397,51.1,51.1
398,51.3,52.8
399,51.6,52.7
400,52.4,53.5
401,52.3,54.2
402,52.4,53.9
403,51.5,54.3
404,52.1,53.7
405,52,53.1
406,51.4,52.5
407,51,52.1
408,51,52.6
409,50.4,51.8
410,51.2,53.3
411,50.7,52.5
412,51.5,52.9
413,51.3,53.7
414,50.2,52
415,50.4,51.6
416,50.5,51
417,50.4,49.8
418,51.1,50.2
419,50.1,50.7
420,50.9,50.9
421,51.9,50.6
422,52.2,53.4
423,52.9,54.3
424,52.5,54.4
425,51.9,54.1
426,53.2,54.6
427,53.9,55.2
428,52.8,54.4
429,50,51.1
430,52.2,53
431,53.6,53.1
432,49.6,51.6
433,50.6,51.5
434,50.8,51.5
435,50.3,51.4
436,48.9,49.8
437,48.1,50
438,49,51.6
439,49.9,51.3
440,50.1,51.2
441,49.9,51.3
442,50.7,52.3
443,50.6,51.5
444,50,51.1
445,50.3,51
446,51.7,51.3
447,52,50.5
448,51.7,50.1
449,51.6,49.7
450,51.5,49.8
451,52.5,50.1
452,52.4,50.9
453,51.5,50.7
454,51.6,50.4
455,50.8,50.9
456,50.2,50.3
457,49.4,50.4
458,48.7,50
459,49.4,50.3
460,48.5,50.5
461,48.4,49.9
462,48.1,50
463,48.6,49.9
464,48.7,49.6
465,48.2,48.8
466,48.8,49.3
467,49.7,48.5
468,49.1,48.6
469,48.5,47.7
470,47.7,47
471,47.9,47.3
472,48.7,47.4
473,49.3,47.4
474,48.5,47.5
475,49.3,48.4
476,50.3,48.5
477,49.8,48.5
478,50.1,49.1
479,50.8,49.7
480,50.4,50.2
481,50.5,50.2
482,50.5,51.3
483,49.8,50.6
484,49.9,50.7
485,48.9,50.4
486,48.3,49.2
487,48.9,48.9
488,49.4,48.9
489,49.2,48.7
490,49.3,48.2
491,51.3,49.1
492,50.5,49.3
493,49.6,49.3
494,50.4,50
495,50.7,49.5
496,50.8,49.4
497,50.7,49.9
498,51.4,50.5
499,51.1,51.4
500,51.4,51.1
501,51.4,51.5
502,50.9,51.5
503,50.1,51.2
504,50.2,51
505,50,51
506,50,51.3
507,49.7,51.1
508,49.4,50.9
509,49.6,51.1
510,49.4,51
511,49.4,50.9
512,49.6,50.8
513,49.9,50.4
514,50.5,50.6
515,50.4,50.4
516,50.1,50.5
517,50.5,50.4
518,50.6,50.2
519,50.2,50.2
520,50.5,50.4
521,49.7,50.1
522,49.7,49.8
523,49.3,49.2
524,49.1,49.1
525,48.1,48.9
526,48,48.9
527,48.1,48.9
528,47.7,49
529,47.2,48.4
530,47.2,48.3
531,46.7,48.4
532,46.4,48
533,45.9,48
534,45.8,48.3
535,46.1,47.9
536,46.8,46.8
537,46,46.7
538,45.5,45.9
539,45.5,45.7
540,45,45.8
541,45.3,46
542,45.8,46
543,45.4,46
544,45.1,45.3
545,47.3,46.3
546,47.2,45.9
547,47,45.8
548,47.1,46.4
549,47.7,46.8
550,47.5,46.7
551,47.2,47.1
552,47.4,47.9
553,47.2,47.5
554,47.7,48.7
555,48.1,48.7
556,48.6,48.9
557,48.8,49.3
558,48.8,49.5
559,48.6,49.6
560,49.1,49.6
561,49,49.8
562,48.8,50.1
563,48.4,49.6
564,48,49.2
565,47.7,48.8
566,47.8,48.5
567,47.9,48.1
568,48,47
569,47.7,46.7
570,47.7,47.6
571,48.5,47.5
572,48.5,48.1
573,48.4,48.4
574,49,48.9
575,48.4,48.8
576,48.9,49.1
577,49,49.3
578,49.1,49.6
579,49,49.7
580,49.2,50
581,49.2,50.2
582,49.8,50.6
583,49.9,50.2
584,50,50.4
585,49.9,50.7
586,49.5,50
587,49.8,50.2
588,49.5,49.5
589,49.6,49.8
590,49.9,49.9
591,49.9,49.8
592,49.6,49.7
593,49.3,49.8
594,49.7,49.7
595,49.3,49.6
596,48.6,48.9
597,48.7,49
598,49,48.6
599,48.7,48.5
600,48.9,48.4
601,48.5,48.3
602,48.8,48.5
603,48.4,48.1
604,48.2,48.2
605,47.4,47.5
606,47.2,47.7
607,46.3,47.2
608,45.9,47
609,45.9,46.8
610,45.2,46.9
611,45.1,46.2
612,45.2,45.6
613,44.9,45.4
614,44.5,44.7
615,44.4,44.1
616,43.7,43.5
617,44,43.8
618,43.9,43
619,44.2,43.1
620,44.1,42.8
621,44.1,42.5
622,43.8,42.2
623,43.9,42.3
624,44,43
625,44,43
626,44,43.8
627,44.3,44.8
628,44.8,45
629,46,46.2
630,48,47.7
631,48.9,47.8
632,50.7,48.4
633,49.8,47.5
634,48.7,47.2
635,49.1,48.2
636,49,48.2
637,49.1,48.7
638,49.5,49.2
639,50,49.4
640,49.7,50.2
641,50.2,50.5
642,49.8,50.8
643,49.8,51.1
644,50,51.2
645,50,51.2
646,50.3,51.6
647,50.2,51.4
648,49.9,50.8
649,49.6,50.9
650,49.1,50.3
651,48.8,50
652,48.7,49.7
653,48.7,49.3
654,48.6,49.3
655,48.2,48.4
656,47.8,48.2
657,47.9,48.6
658,47.6,48.2
659,46.7,48.1
660,46.4,47.7
661,46.4,47.6
662,45.8,47.1
663,45.8,46.9
664,46.3,46.4
665,46.3,46.4
666,46.1,45.4
667,45.9,45.3
668,45.8,45.3
669,46.2,45.4
670,46.6,45.3
671,46.3,46.4
672,46.1,45.5
673,46.5,46.3
674,46.7,47
675,46.6,47.1
676,46.1,46.8
677,46.4,47.5
678,46.1,48
679,46.2,47
680,46.1,46.7
681,46.3,46.4
682,46.5,47.1
683,46.4,46.7
684,46.8,46.9
685,46.6,47.1
686,46,46.9
687,46.1,46.9
688,46.4,47.1
689,46.5,47.3
690,47.4,48
691,47.8,48.9
692,48.9,49.2
693,49.4,49.1
