Tid (s),C1,C2
1,50.7,29.7
2,49.6,29.7
3,50.1,29.7
4,50,29.7
5,50.7,29.9
6,50.6,30
7,51.1,30.3
8,50.3,31.6
9,50.1,32.8
10,50.5,33.6
11,50,33.5
12,50.1,33.8
13,50.7,34.3
14,49.8,33.3
15,49.6,32.2
16,50,46.6
17,50.7,48.7
18,50,49.8
19,49.4,49.1
20,52,49.6
21,52.3,51
22,50.4,51.6
23,51.6,51.5
24,51.1,50.8
25,51.7,50.2
26,52.1,50.5
27,52.2,52.1
28,54.1,53.5
29,53.4,52.1
30,52.7,49.8
31,51.2,50.1
32,50.1,50.2
33,51.4,51.5
34,50.5,49.9
35,51.2,51
36,51.2,50.1
37,51.2,50.6
38,50.8,50.2
39,51.5,51.8
40,51.3,52.1
41,51,51.6
42,50.4,50.8
43,51.3,52.3
44,50.8,54
45,52.1,53.6
46,51.8,54
47,52,53.3
48,50.7,50.4
49,54.6,50
50,55.4,52.4
51,53.5,55.3
52,52.7,53.6
53,53.1,54
54,52.7,53
55,51.8,52.5
56,52.7,53.3
57,53.7,52.2
58,53.1,53.6
59,52.7,52.8
60,53,52.2
61,52.8,52.9
62,52.7,53.3
63,54.4,53.8
64,53.1,54
65,54.1,54.5
66,53.6,54
67,62.7,56.4
68,53.2,54
69,53.3,53.2
70,52.8,53.6
71,53.3,52.9
72,52.4,52.6
73,53.3,55.2
74,52.9,55.1
75,53.4,53.7
76,52.1,53.6
77,55.6,53.6
78,56.7,56.8
79,59,58
80,57.6,58.2
81,58.9,59.3
82,59.9,61.9
83,59.4,62
84,57.4,59.1
85,57.9,59.4
86,57.6,59.4
87,54.9,59.9
88,56.1,54.3
89,55.2,57.1
90,55.5,55.9
91,55.8,58.8
92,59,57.5
93,55.4,55.4
94,58.3,57.2
95,59.9,59.5
96,59.4,59.2
97,56,57.2
98,52.8,53.9
99,52.3,52.8
100,50.9,51.9
101,50.9,51.3
102,56.3,52.1
103,57.8,59.4
104,57.6,60.3
105,57.9,58.4
106,58.1,59.6
107,57.9,59.5
108,58.2,57.6
109,59.2,59.9
110,61.8,61.7
111,61,61.7
112,57.4,58.6
113,54.5,56
114,52.8,53.6
115,51.8,51.9
116,50.6,51.1
117,55.8,52.9
118,57.7,58.2
119,59.4,59.2
120,60,60
121,58.6,61
122,58.7,58.6
123,59.5,59.6
124,57.3,59.1
125,57.3,59.4
126,58.2,59.4
127,57.2,58.1
128,59.7,61
129,56.3,65.2
130,56.2,58.5
131,55,56.9
132,54.4,55.1
133,54.2,53.9
134,54,54.1
135,52.3,53.5
136,51.2,52.6
137,52.2,53.3
138,52.3,52.8
139,52.9,54.7
140,52.3,55.1
141,53,55
142,52.7,55
143,53.8,54.9
144,52.4,53
145,51.9,52.4
146,54.1,52.2
147,53.4,52.8
148,52.4,53.5
149,52.1,53.3
150,52.9,54.8
151,52.9,56.1
152,52.4,52.5
153,51.8,51.9
154,53.9,52.7
155,52.1,52.1
156,52.5,52.3
157,51.9,51.9
158,51.7,53.3
159,51.8,52.7
160,52.5,55.5
161,52.2,54.2
162,53.2,55.7
163,53.2,53.7
164,52.4,52.7
165,52.3,52.7
166,52.5,52.9
167,51.7,52.5
168,52.3,52.9
169,51.6,51.9
170,52.4,53
171,52.8,52.7
172,52.2,53.2
173,52.3,53.9
174,52.3,55.3
175,51.7,53.4
176,51.9,53.7
177,52.3,54
178,52.7,55.2
179,52.6,52.4
180,53.1,52.6
181,52.3,51.7
182,51.4,51.4
183,50.7,51.3
184,51.7,51.3
185,51.4,51.5
186,51.7,51.4
187,51,52.4
188,55.2,55.2
189,58.2,58.8
190,59.5,59
191,56.3,56.7
192,57.4,58.2
193,56.4,57.3
194,55.2,56.6
195,50,50.7
196,52,52.3
197,53.2,52.9
198,53.4,53.9
199,54.8,54.3
200,53.6,54.8
201,51.2,51.8
202,50.4,51.9
203,50.9,50.8
204,53.9,51.4
205,54.6,52.6
206,55.1,57.6
207,54.1,58.1
208,52.9,55.5
209,50.3,49.8
210,53.5,53.9
211,55.1,56
212,55.7,55.9
213,55.8,54.8
214,54.7,55.5
215,53.7,54.1
216,51.9,53.2
217,52,53
218,55.7,54.1
219,55.6,55.4
220,54.8,54.9
221,57.3,55.1
222,56.5,56.5
223,53.8,54.2
224,57.8,56.9
225,59.8,60
226,58,59.9
227,58.8,59.3
228,59,59.1
229,59.7,60.4
230,56.5,60.5
231,56.3,56.6
232,54.2,56.4
233,50.5,52.4
234,53.7,50.8
235,58.3,59.7
236,58.8,61.6
237,59.6,62.4
238,59.8,61
239,58.4,61.9
240,60.1,60.6
241,61.8,60
242,58.5,58.5
243,59.1,57.5
244,56.4,54.6
245,49.5,49.9
246,49.4,50
247,48.7,49.8
248,48.8,50
249,49.1,50.5
250,49.1,49.4
251,51.9,49.9
252,52.1,52.2
253,52.1,52.8
254,51,54.4
255,49.8,51.8
256,49.6,50.9
257,49.9,50.1
258,50.8,49.6
259,51,49.4
260,50.1,50.5
261,50.3,50.1
262,50.6,49.6
263,52.3,51.6
264,52.6,50.7
265,51.8,49.9
266,50.3,50.2
267,50.5,49.5
268,52.6,50.7
269,51.5,49.7
270,52.4,49.8
271,52.3,50.8
272,52.2,51
273,49.8,50.2
274,51.9,50.9
275,50.5,49.9
276,49.4,49.7
277,50.3,50
278,50.3,49.5
279,50.3,50.1
280,50.4,49.3
281,49.6,49
282,49.4,48.5
283,51.6,48.9
284,51.6,49.7
285,50.6,50.7
286,50.7,49.8
287,50.2,50.3
288,51.1,50.4
289,51.1,49.9
290,50.1,50.3
291,51.4,49.6
292,50.4,50.3
293,50.5,50.6
294,50.2,50.1
295,49.9,50.1
296,49.9,50.2
297,49.5,49.9
298,49.6,50.2
299,48,49.4
300,48,47.3
301,47.9,48.2
302,48.6,48.3
303,48.1,48
304,48.9,47.9
305,47.7,47.8
306,49.7,50.3
307,48.8,49.9
308,48.8,48.6
309,50.2,49.5
310,50.7,50.1
311,50.4,50.2
312,50.2,50.3
313,50.3,50.6
314,49.8,49.7
315,50,49.4
316,50.2,49.5
317,49,48.5
318,52.4,49.3
319,51.4,49.9
320,51.7,51
321,51.6,50.8
322,50.6,50.2
323,51.6,50.1
324,50.1,49.9
325,51.5,50.4
326,51.2,50.7
327,51.2,50.5
328,50.9,50.2
329,52.1,51.1
330,51.5,51.3
331,50.3,51.6
332,51.2,53.9
333,50.5,51.3
334,51.5,51.6
335,52.9,51.4
336,51.2,52.1
337,51.2,52.2
338,51.3,51.9
339,50.4,51.6
340,50.5,51.2
341,51.9,51.6
342,49.8,50.2
343,49.8,50.7
344,50,50.2
345,51.1,51.2
346,51.2,50.9
347,51.1,49.9
348,52,50.8
349,51.9,50.1
350,52.9,52.4
351,50.7,50.5
352,50.8,51.5
353,49.9,50.9
354,50.3,50.5
355,52.1,51.2
356,49.4,49.8
357,50.4,50.6
358,49.1,49.7
359,52.2,50.3
360,50.2,50.4
361,51.2,50.2
362,49.2,49.5
363,52.7,51
364,52.1,51.1
365,50.6,50.1
366,50,50.6
367,50.7,51.5
368,52.5,50.4
369,52,51.3
370,52.2,51.2
371,53.3,52.7
372,53.8,53.7
