Tid (s),C1,C2
1,49.9,29.5
2,48.7,29.4
3,49.2,29.5
4,49.2,29.5
5,49.7,29.6
6,49.7,29.7
7,49.9,29.9
8,49.4,31
9,49.6,32.1
10,49.3,33
11,49.2,33.1
12,49.1,33.3
13,49.5,33.6
14,49.1,32.8
15,49.2,31.1
16,49.4,43
17,49.6,48.2
18,48.9,49
19,48.7,48.2
20,50.4,49
21,50.7,50
22,48.6,48.4
23,50.6,50.2
24,50.1,49.9
25,50.6,49.8
26,51.2,50.2
27,51.4,50.7
28,52.7,52.4
29,51.1,50.1
30,50.7,49.1
31,50.5,49.6
32,49.6,49.4
33,50.4,50.3
34,49.8,49.3
35,50.4,49.6
36,50,49.3
37,50.2,49.5
38,49.5,49.3
39,50.5,50.4
40,50.3,50.6
41,50.2,50.2
42,49.4,49.7
43,49.8,50.3
44,49.7,51.6
45,50.7,52.1
46,50.8,52.3
47,50.5,51.8
48,50,49.7
49,51.5,49.1
50,53.2,51
51,52.4,54.2
52,51.8,52.8
53,52.2,52.7
54,51.3,51.7
55,51,51.1
56,51.6,51.6
57,52.1,51.4
58,52,52.6
59,51.8,51.5
60,51.9,51.5
61,51.8,51.4
62,51.4,52.3
63,53.6,53.1
64,51.8,52.3
65,53.1,53.3
66,51.5,51.9
67,57.9,53.9
68,51.9,52.5
69,52.4,52
70,51.5,51.9
71,52,51.6
72,51.1,51.8
73,52.4,53.4
74,52,51.9
75,52.4,52.7
76,50.2,52
77,53.7,51.3
78,55,55.4
79,56.6,55.7
80,56.1,55.8
81,57.4,57.5
82,58.2,59.4
83,56.7,58.8
84,56,56.5
85,56.6,56.6
86,55.3,57.4
87,50.8,53.3
88,54.6,53
89,53.6,55.1
90,54.1,52.9
91,54.3,56.3
92,55.7,55.5
93,53.7,52.9
94,56.7,55.4
95,58.5,57.3
96,57.1,57.7
97,53.4,55
98,52.2,53.1
99,51.1,51.5
100,50.3,51
101,50.2,50.9
102,52.6,51.3
103,54.3,54.8
104,55,56.9
105,56.4,56.8
106,56,57.8
107,56,56.5
108,57.1,56.2
109,57.8,57.4
110,60.5,59.8
111,58.9,60.1
112,55.8,57.1
113,53.3,53.9
114,52.1,52.2
115,50.8,50.9
116,50.2,50.5
117,53.4,51.5
118,56.4,56.1
119,58.1,57.3
120,58.1,58.4
121,55.8,57.5
122,56.7,56.7
123,56.9,56.9
124,55.4,57.2
125,55.8,56.5
126,56.5,56.7
127,55.8,56.9
128,57.8,58.8
129,55.4,62.9
130,55.5,55.8
131,54.4,56
132,53.5,54.2
133,53.3,53.1
134,53.1,53.5
135,51.6,52.8
136,50.4,51.8
137,51.3,52.4
138,51.5,52.1
139,52.1,53.5
140,51.7,53.4
141,52.4,53.5
142,51.5,53.5
143,52.2,53.5
144,51.8,52.1
145,51.1,51.2
146,52.5,51.3
147,52.1,52.2
148,51.7,52.5
149,51.3,51.5
150,52.1,53.2
151,52.1,53.7
152,51.4,51.7
153,50.4,51.1
154,52.4,51.6
155,51.5,51.5
156,51.6,51.8
157,51.3,50.7
158,51.3,52.3
159,51.1,51.2
160,51.6,52.8
161,51.3,51.8
162,52.5,54
163,52.2,52
164,51.4,52.1
165,51.7,52.2
166,51.5,51.9
167,51.3,51.3
168,51.1,51.9
169,51,51.3
170,51.6,51.8
171,51.5,51.9
172,51.4,52.4
173,50.9,53.4
174,51.3,53.7
175,51.3,52.8
176,51.4,52.1
177,51.5,52.6
178,51.9,52.9
179,52.1,51.7
180,52.1,51.8
181,51.4,51.1
182,50.6,50.5
183,50.1,50.6
184,50.9,50.8
185,50.7,50.8
186,50.7,50.9
187,50.3,51.6
188,53.8,53.5
189,56.8,56.6
190,56.1,57.2
191,55.1,54.4
192,55.5,56.4
193,53.4,54.5
194,52.2,52.8
195,48.9,48.6
196,50.2,51
197,52.3,52.4
198,52.6,53.1
199,52.9,53.5
200,51.7,52.1
201,50.3,51
202,49.4,50.3
203,50.1,49.9
204,52.1,50.8
205,53.4,51.7
206,54.1,54.5
207,53,55.8
208,50.9,52
209,48.8,49
210,52.7,52.6
211,54.5,54.4
212,54.2,54.5
213,54.3,53.8
214,53.5,54.6
215,52.3,52.6
216,50.4,51.8
217,51.1,51.9
218,53.9,53.5
219,54.2,54.5
220,54.1,54
221,56,53.9
222,54.6,54.8
223,52.7,53.4
224,55.8,55.4
225,57.9,58.3
226,57,58.2
227,58,58.2
228,57.4,57.7
229,57.4,59.3
230,55.9,57.8
231,54.7,56
232,52.9,55
233,48.5,49.5
234,51,49.8
235,56.1,56.4
236,57.3,59.3
237,58,60.4
238,58,58.2
239,57,59.1
240,58.1,58.1
241,57.9,56.1
242,56.5,56
243,56.7,55.4
244,50.1,51.2
245,48.4,49.5
246,48.6,49.4
247,48.1,48.8
248,48.4,48.8
249,48.5,49.5
250,48.1,48.2
251,50.9,49.4
252,50.9,50.5
253,50.6,51.8
254,49.4,51.7
255,49.2,50.2
256,48.8,49.2
257,49.4,49.4
258,49.8,48.8
259,50.1,48.7
260,49.5,49.6
261,49.6,49.4
262,49.7,49
263,51.3,50.3
264,51.2,49.8
265,50.1,48.8
266,49.7,49.3
267,49.5,49
268,50.7,49.6
269,50.1,48.5
270,50.6,49.1
271,51.3,50
272,49.1,49.9
273,49.2,49.4
274,50.2,49.4
275,49.3,49
276,48.9,49
277,50,49
278,49.5,48.8
279,49.8,48.8
280,49.4,48.6
281,48.9,48.3
282,49,47.9
283,50,47.9
284,50.5,48.7
285,49.9,49.6
286,49.9,49.4
287,49.1,49.7
288,49.9,48.9
289,50.1,48.7
290,49.1,48.8
291,49.8,48.6
292,49.6,49.1
293,49.8,48.8
294,49.2,49.3
295,49.2,49.1
296,49,49.3
297,48.7,48.7
298,48.4,49.3
299,47.2,47.7
300,47.2,47.1
301,47.3,47.2
302,47.9,47.7
303,47.6,47.1
304,48,47.4
305,47.3,47.1
306,48.2,48.3
307,48.2,48.5
308,48.3,47.6
309,49.4,48.3
310,50,49.6
311,48.9,48.9
312,49.7,49.5
313,49.3,49.7
314,49.1,49
315,49.3,49
316,49.3,48.4
317,48.3,47.6
318,50.8,48.6
319,50.9,49.3
320,50.8,50.2
321,50.1,49.6
322,50,49.3
323,50.2,49.2
324,49.4,49
325,50.6,49.9
326,50.6,50
327,49.9,49.3
328,50.3,49.5
329,51.1,50
330,50.1,50.1
331,49.9,50.5
332,50.2,51.8
333,50,50.3
334,50.6,50.9
335,50.9,50.7
336,50.4,51.3
337,50.5,51.7
338,50.7,51.4
339,49.5,51.3
340,49.8,50.6
341,50.1,50.7
342,49.3,49.7
343,49,49.9
344,49.1,49.5
345,49.4,49.9
346,49.6,50.3
347,49.4,49.1
348,50.3,49.7
349,49.9,49.4
350,51.2,51.4
351,49.7,49.5
352,49.8,50.6
353,49.3,49.9
354,49.5,49.6
355,50.4,49.6
356,48.5,48.7
357,48.8,49
358,48.5,49.1
359,49.5,49.8
360,48.7,49.5
361,49.2,49.4
362,48.3,48.7
363,50.1,50.1
364,50,50.4
365,49.6,49.6
366,49.4,50
367,49.5,49.9
368,50.1,49.7
369,50.8,49.9
370,50.4,49.9
371,51.7,51
372,53.2,52.8
373,53.5,52.9
374,53.1,53.6
375,52.2,53.1
376,52.2,52.2
377,53.1,52.6
378,53,52.8
379,54,52.6
380,53.1,52.9
381,53,52.8
382,52.6,52.4
383,53.2,52
384,52.1,53.7
385,51.3,52.7
386,52.5,52.8
387,52.3,52.1
388,52,52.3
389,52.7,53.6
390,52.7,54.5
391,54,53.6
392,52.6,54.7
393,52.9,53.1
394,53,54.5
395,53,53.7
396,52.4,54.2
397,51.4,53.6
398,48,50
399,50.8,49.8
400,55.3,56.8
401,56.4,59
402,56.2,58.6
403,56.1,59
404,57.4,59.5
405,55.4,58.3
406,54.7,57.2
407,55.9,57.4
408,53.7,57.7
409,52.8,52.1
410,54.7,55.1
411,52.1,53.1
412,54.9,54.7
413,54,56.1
414,54.4,58.6
415,53.5,55.9
416,54.2,57.7
417,56.3,58.2
418,54.3,57.5
419,52.3,53.3
420,53.2,56
421,52,54.5
422,50.6,53
423,49.8,51.7
424,50,50.9
425,51.2,51.4
426,54.3,53.8
427,53.9,53.6
428,55.6,56.2
429,55.3,56.3
430,57.2,55.1
431,58.8,57.5
432,58.8,58
433,56.7,58.1
434,53.6,55.2
435,51.6,53.7
436,50.3,52.8
437,49.7,52.3
438,49.9,51.5
439,49.9,51.6
440,53.5,51.8
441,57.2,55
442,57.8,57
443,57.4,57.6
444,54.5,57
445,55.9,56.3
446,55.2,57.3
447,54.8,56.1
448,55.7,56.6
449,55.7,55.9
450,54.5,58.5
451,56.7,58.3
452,60.6,59.5
453,62.1,62.7
454,61.4,63.4
455,59.3,60.9
456,55.8,57.7
457,54.5,56
458,53.5,55.5
459,51.9,55.2
460,51.3,55.1
461,52,54.4
462,53.5,54.2
463,52.3,53.1
464,51,52.2
465,52.8,52
466,52.5,52.5
467,51.3,52.2
468,52.4,51
469,52.8,52.3
470,53,53.5
471,52.1,52.2
472,52.1,51.6
473,52.1,52.5
474,50.9,51.4
475,50.9,50.7
476,51.4,53.1
477,52.4,51
478,51.9,51.7
479,52,52.8
480,53.7,55.4
481,56.2,55.4
482,54.9,54.1
483,56.2,56.7
484,54.3,54.5
485,53.6,53.2
486,53.2,53.2
487,52.2,51.7
488,51.9,54.6
489,50.2,53.4
490,48.7,52
491,48.8,50.7
492,48.8,51.4
493,49.3,52.9
494,49.4,51
495,49.7,51.4
496,49.6,51.9
497,50,52
498,49.9,50.9
499,48.7,50.6
500,50.1,51.3
501,50.8,52.5
502,50.6,52
503,51.3,51.8
504,50.8,51.2
505,50.1,51
506,51.6,51.4
507,54.9,55.4
508,58.1,59
509,54.5,56.8
510,55,56.7
511,55.7,57.4
512,51.4,52.8
513,54.8,54.9
514,54.8,56.5
515,54.2,54.7
516,53.6,53.3
517,54.7,54.4
518,55.1,55
519,56.8,55.7
520,54.5,55.2
521,55.7,55
522,56.2,54.9
523,53.1,52.8
524,55.8,55.6
525,55.3,56
526,54.9,56.6
527,53.9,55.4
528,53.3,56.1
529,54.3,56.4
530,55.2,56.8
531,56.8,58.4
532,56.8,58.2
533,56.3,58.4
534,51.3,53.8
535,50.1,49.4
536,50.9,52.5
537,51.9,53
538,50.5,53.7
539,51.2,54.4
540,51.1,51.3
541,51.8,53.9
542,51.5,54.2
543,53.4,54.5
544,51.3,55
545,48.9,53.6
546,49.5,49.1
547,52.1,52.1
548,52.6,56.3
549,52.8,54.4
550,54.3,56.1
551,55.3,57.2
552,54.3,58.5
553,55,56
554,54.8,57.7
555,54.9,57.8
556,56.4,56.2
557,55.5,56.2
558,57.1,55.5
559,58,58.3
560,58.5,58.1
561,56.8,56.9
562,56.5,59
563,56.4,58
564,56.2,56.7
565,57,61.3
566,56.8,58.8
567,56.7,58.5
568,57.4,58.4
569,58.5,61.5
570,56.9,59.9
571,56.8,57.8
572,54,54.1
573,54.7,54.9
574,53.6,53.9
575,55.3,53.8
576,56.8,56.8
577,58,56.7
578,56.7,56.1
579,57,57.9
580,57.4,57.9
581,56.7,56.8
582,56.5,56.7
583,58.1,57.9
584,57.8,57.5
585,57.1,57.6
586,53.1,52.1
587,50.8,50.9
588,50.1,50.4
589,50.1,49.6
590,49.5,49.3
591,49.9,51.1
592,51.4,52
593,50.7,51.8
594,49.8,50.8
595,50.4,50.9
596,52.3,50.8
597,54.8,54.7
598,56.8,57.4
599,55.2,55.6
600,56.6,56.9
601,57.1,56.6
602,56.7,55.2
603,57.1,54.6
604,54.1,53.5
605,54.9,54.6
606,56,54.8
607,55.4,55.2
608,55.2,53.8
609,57.1,56.3
610,56.6,56
611,50.8,50.9
612,49.3,48.9
613,49.7,49.2
614,49.7,49.3
615,49.5,49.9
616,49.7,49.7
617,49.4,49.4
618,49.3,48.9
619,48.2,48.8
620,48,49.2
621,52.4,50.1
622,52,52.3
623,52.3,51.7
624,52,51.6
625,51,50.9
626,50.3,50.6
627,51.8,51.2
628,49.4,50.2
629,50,50.5
630,49.7,50.9
631,51.9,51.6
632,50,51.1
633,49.4,49.5
634,48.4,48.6
635,49.7,49.9
636,48.8,48.8
637,49,48.7
638,50.6,49.7
639,52.7,53.2
640,52.4,51.1
641,52.2,51.7
642,51.1,50.7
643,51.5,50.7
644,51.5,51.3
645,52.4,52.7
646,50.7,50.4
647,51,50.5
648,50.1,50.1
649,50.3,49.7
650,49.6,49.3
651,51.6,51.4
652,50.3,49.8
653,50.9,50
654,54,52.5
655,53.6,51.8
656,57.6,55
657,60.2,57.6
658,54.5,54.3
659,55.3,54.5
660,54.2,52.9
661,53.8,53.8
662,52.5,50.8
663,51.5,50
664,49.9,49.4
665,50.2,49.2
666,50.2,49.5
667,49.9,48.7
668,49.4,48.1
669,48.8,48.4
670,50.2,49.7
671,49.6,49
672,50.2,49.9
673,50.9,50.7
674,50.8,50.2
675,50.4,50.3
676,50.3,49.3
677,54.3,52.6
678,53.5,53.1
679,51.3,52
680,50.3,51
681,50.3,49.9
682,49.1,50.1
683,50.4,51.3
684,50.6,50.2
685,51.3,53.1
686,50.1,50.5
687,52.5,52.9
688,50.3,51.1
689,51.9,53.7
690,49.9,50.9
691,51.4,51.1
