Tid (s),C1,C2
1,63.7,60.5
2,63.5,59
3,63.9,58.7
4,64,58.4
5,64.2,58.7
6,63.3,58.5
7,62.7,57.2
8,63.7,57.6
9,64.2,58.7
10,65,59.6
11,64.7,59.7
12,64,60.1
13,64.3,60.6
14,63.9,60.8
15,64,61
16,63.7,60
17,62.7,59.4
18,60.4,58.6
19,62.9,58.1
20,62.8,58.6
21,62.6,58.4
22,59.5,58.4
23,58.1,58.3
24,58.2,61.3
25,61.2,60.7
26,64.8,60.7
27,66,61.8
28,65.8,62
29,65.8,61
30,66.2,60.9
31,66.2,60.5
32,64.6,59.4
33,63.3,58
34,62.4,56.2
35,62.1,56.3
36,63.1,56.5
37,63.6,56.7
38,62.6,57.2
39,63.4,55.9
40,63.7,57.5
41,63.9,57.7
42,64.1,57.3
43,66.7,60.3
44,69.6,64.6
45,72.4,66.4
46,71.9,66.5
47,70.7,65.2
48,68,63.3
49,66.4,61.2
50,66.2,58.8
51,65.8,58.1
52,63.5,57.3
53,63,57
54,61.4,57
55,57,55.4
56,56.9,58.1
57,61.6,60
58,63.3,57.8
59,63.3,57.6
60,63.1,57.1
61,63.1,56
62,63.5,57.6
63,63,57.5
64,63.3,56.1
65,63.3,55.4
66,61.6,55.6
67,63,56.1
68,62.8,56.5
69,64.3,57
70,67.3,59.2
71,67.6,60.3
72,66.6,59.7
73,63.8,58
74,63.3,55.9
75,64.5,57.1
76,64.3,57.6
77,61.8,55.2
78,63.6,55.1
79,63.3,54.9
80,62.4,55.7
81,63.5,56.4
82,64,55.3
83,62.5,56.1
84,62.1,55
85,64.5,55.9
86,64.9,56.6
87,63.8,56
88,62.6,55.8
89,62.2,55.9
90,63.6,55.6
91,64.4,56.2
92,63.7,56.6
93,65,56.9
94,64.6,55.6
95,62.1,55.4
96,61.4,54.6
97,58.8,52.6
98,60.9,51.7
99,61.3,52.7
100,61.4,51.8
101,61.1,52.1
102,63.9,55.3
103,62.9,55.4
104,64,54.9
105,63.1,54.2
106,62.1,53.7
107,62.2,53.8
108,61.4,54.5
109,59.2,52.3
110,60.2,52
111,60.7,55.4
112,61.4,56
113,61,56.3
114,59.7,56
115,60.6,56.1
116,61.2,53.8
117,61.6,53.1
118,58.5,53.2
119,59.2,52.4
120,60.5,53.4
