Tid (s),C1,C2
1,62.9,59.6
2,62.7,58.3
3,63,58.1
4,63.3,58
5,63.1,58.3
6,62.5,57.2
7,61.8,56.5
8,62.4,56.7
9,63.1,57.6
10,64.1,59.1
11,62.7,58.7
12,63.1,59.5
13,63.7,60.1
14,63.2,60.1
15,63,60
16,63,59.5
17,60.9,58.5
18,59.6,57.7
19,61.8,57.6
20,62,57.9
21,59.6,57.9
22,58.2,58
23,57.6,57.3
24,57.8,60.4
25,59.6,59.3
26,63.5,59.6
27,65,61
28,64.9,61
29,65.3,60.4
30,65.1,60.2
31,64.4,59.8
32,63.3,58.5
33,61.5,56.8
34,60.7,55.5
35,59.8,55.4
36,61.4,55.6
37,62.3,55.8
38,59.8,55.7
39,61.7,55.3
40,61.8,56.2
41,63,56.7
42,63.2,56.9
43,66,59.3
44,68.5,63.2
45,71.3,65.8
46,71,65.6
47,69.1,63.7
48,66.8,62.1
49,65.5,59.6
50,64.4,57.7
51,63.2,57.3
52,61.1,55.7
53,61.2,55.7
54,58.2,55
55,56.4,54.9
56,56.5,55.7
57,60,58.5
58,62.2,57.4
59,62.7,56.5
60,61.8,56
61,61.9,55.5
62,62.3,56.6
63,61.8,55.5
64,62,55.3
65,61.8,54.6
66,60.5,54.6
67,62.4,55.3
68,61.9,55.8
69,63.2,56.4
70,66.2,58.2
71,67.1,59.7
72,64.7,58.6
73,62.9,56.5
74,62.6,55.2
75,63.6,56.2
76,62.8,55.7
77,60.7,53.7
78,62.2,54.3
79,62.4,54.2
80,61.3,54.7
81,62.5,55.3
82,62.2,54.7
83,61.3,54.2
84,60.7,53.9
85,63.3,54.7
86,62.9,55.6
87,61.7,54.9
88,61.5,54.7
89,60,54
90,62.3,54.8
91,62.4,55.1
92,62.4,55.2
93,63.2,55.8
94,62.7,54.9
95,60.3,54.7
96,59.8,53.1
97,57.9,51.6
98,59.3,50.9
99,60.2,52.2
100,60.3,51.2
101,60.3,51.4
102,63.1,53.7
103,61,52.9
104,62,53.5
105,61.5,53.1
106,60.1,52.2
