Tid (s),C1,C2
1,64.7,48.9
2,61.4,53.3
3,61.9,53.6
4,62.3,53.4
5,62.7,53.3
6,64.2,51.6
7,61.9,51.8
8,67,51.9
9,67.9,52.1
10,57.1,49.9
11,58.6,48.7
12,60.4,49.7
13,63,52.2
14,62.3,52
15,62.4,52.3
16,60.8,53.9
17,64,53.9
18,61.7,51.5
19,63.2,51.6
20,60.2,51.1
21,62.4,51
22,58.7,50.6
23,60,50.9
24,57.4,50.4
25,58.2,49.6
26,55.4,48.9
27,57,49.5
28,58.1,49.6
29,59.4,51.6
30,60.8,54.3
31,55.1,49.7
32,57.4,49.5
33,59.7,51
34,58.2,50.7
35,57.9,50.1
36,58.4,48.8
37,57.5,49.2
38,58.3,48.9
39,59.7,49.8
40,57.5,49.2
41,59.2,51.2
42,60.9,51.7
43,55.9,49.2
44,52.1,44.9
45,50.8,43.5
46,51.9,43.8
47,58.4,48.8
48,59.1,49.7
49,58.9,50
50,60,50.9
51,59.3,50.4
52,59.3,50.4
53,55.2,49.5
54,59.7,49
55,63.1,50.7
56,60.7,51
57,60.3,51.5
58,60,51
59,60.9,50.7
60,59.9,51.7
61,58,50.3
62,60.1,52.3
63,61.1,54.9
64,62.7,56.4
65,62.2,56.5
66,62.1,56.2
67,62.1,55
68,61.5,55.4
69,61.4,54.4
70,62,54.6
71,60.9,54.9
72,61,55.5
73,60.7,54.6
74,62.3,54.8
75,62.7,53.9
76,59.5,52.4
77,59.7,52.3
78,59.9,53.6
79,64.7,57.4
80,65.2,59.1
81,64.7,58.1
82,63.5,57.6
83,63.1,56.9
84,61.3,55.8
85,61.5,55.9
86,60.9,54.9
87,60.7,54.8
88,61.7,55
89,62.3,54.5
90,60.7,51.7
91,60.7,52.8
92,61.3,54
93,60.9,53.6
94,60.4,53.5
95,59.7,52.5
96,59.3,51
97,58.2,50.5
98,59.4,49.7
99,60.2,51.3
100,61.4,51.4
101,61,52.1
102,60.3,52.6
103,60.3,53.2
104,61.6,53.4
105,57.2,52.4
106,58.8,52
107,58.6,52.7
108,59.4,52
109,59.6,52.5
110,58.3,51.5
111,57.7,51.1
112,59.7,51.3
113,60.3,53
114,58.8,52.9
115,60,53.4
116,61.6,53.3
117,59,52.2
118,60.1,51.7
119,61.8,52.5
120,61,52.1
121,61,51.7
122,59.8,52.5
123,60,52.6
124,59.6,52.3
125,59.9,51.5
126,58.8,50.5
127,58.8,50.7
128,59.1,52.7
129,61.4,50.8
130,60.3,51.5
131,59.1,51.3
132,61,50.6
133,59.5,52
134,60.5,50.7
135,61.6,51.2
136,59.9,52.1
137,59.6,51.3
138,54.2,49
139,59.6,50.7
140,60.3,51.7
141,57.4,51.4
142,55.7,50.2
143,52.5,47.4
144,56.3,49.1
145,59.8,49.5
146,59.9,50.9
147,60.5,51.3
148,60.2,51.5
149,62.7,54
150,63.3,56.8
151,64.2,57.6
152,64.4,58.1
153,64.1,57.8
154,63.3,56.8
155,62.9,56.7
156,63.5,55.4
157,63.4,55
158,62.6,55.3
159,61.7,54
160,61.5,53.7
161,64.1,55.3
162,63.7,56.2
163,63.8,56.8
164,63.1,57.8
165,62.9,58.5
166,63.4,59.5
167,62.7,58.8
168,63,59
169,63.5,59.7
170,63.4,64.8
171,64.2,64.7
172,64,59.5
173,65,59.7
174,63.9,58.8
175,64,58.7
176,63.4,57.8
177,63.7,56.2
178,63.3,55.7
179,61.6,55.7
180,61.9,55.7
181,63.1,55.8
182,63.3,57.3
183,63,56.8
184,62.9,56.7
185,62,57.1
186,61.4,56.5
187,61.6,56.4
188,63.5,55.9
189,64,57.1
190,64.3,58
191,63,57.3
192,59.9,54.6
193,58.7,53.7
194,58.5,53
195,60,55.1
196,59.6,52.3
197,59.7,52.1
198,58.1,50.8
199,61.3,52.6
200,59.1,52
201,54.5,50.2
202,53.3,47.6
203,60.2,50.7
204,61.2,50.6
205,60.4,52.6
206,59.4,51.3
207,61.1,51.2
208,59.4,50.4
209,61,50.9
210,60.7,51.7
211,59.1,50.6
212,59.5,49.4
213,59.8,51.1
214,59.4,51.2
215,58.8,49
216,58.8,50
217,59.3,50.4
218,56.1,49.4
219,57.9,47.7
220,58.8,49.5
221,58,51.1
222,58.7,51.9
223,60.7,52.6
224,63.8,55.2
225,65.8,58.7
226,66.2,59.8
227,64.5,59.1
228,63.2,58
229,62.3,54.8
230,61.3,54
231,60.6,53.2
232,59.7,51.5
233,57.2,48.5
234,60.5,49.4
235,58,48.9
236,59,49.6
237,60.3,49.5
238,61.1,49.1
239,60.3,49.4
240,57.1,48.8
241,57.9,49.9
242,58.3,49.1
243,60.7,51.9
244,58.5,50.6
245,55.5,48.3
246,57.7,48.9
247,56.8,49.7
248,57.7,48.9
249,59.2,49.4
250,59.4,49
251,54,46.1
252,54.9,44.2
253,58.1,45.1
254,58.9,44.2
255,61,48.3
256,59,49.2
257,60.2,49.4
258,59.2,50.9
259,59.3,50.2
260,61.7,49.6
261,58.8,51
262,59.9,51.9
263,60.9,56.3
264,58.7,50.1
265,58.4,49.5
266,59,49.5
267,57.9,50.4
268,59.5,51.5
269,59.6,50
270,57.4,50.2
271,58,49.3
272,62.1,51.5
273,59.7,52.4
274,59.2,54.7
275,57.6,55
276,58.3,56.1
277,57.5,61.7
278,59.3,61.2
279,57.9,52.2
280,58.1,52
281,59.3,50.7
282,59.4,50.8
283,59.4,49.6
284,58.5,50.3
285,56.5,50.3
286,58.1,50.1
287,55.9,49.6
288,57,48.8
289,57.6,49.1
290,57.2,49.7
291,57.7,48
292,57.6,48.4
293,58.5,47.5
294,58.7,49.4
295,59.5,49.4
296,59.6,49.5
297,59.7,50
298,58.7,50.9
299,57.3,47.6
300,59.5,49.1
301,60.1,50.6
302,61.1,51.4
303,59.8,51.3
304,60.3,51.2
305,58.3,49.8
306,60.4,50.5
307,60.2,50.3
308,60.7,50.3
309,59.1,50.7
310,64.5,54.5
311,68.2,58.9
312,68.5,59.8
313,66.9,58.9
314,63.1,56
315,59.6,53
316,59.8,50.1
317,58.2,50.5
318,60,49.7
319,61,50.9
320,62.9,52
321,61.9,52.8
322,59.9,51.9
323,55.8,49.7
324,52.9,46.8
325,50.5,43.8
326,59.2,48.6
327,58.8,49.9
328,59.4,49.9
329,56.9,49.6
330,59.8,50.8
331,59.3,51.3
332,60.2,52.2
333,59.5,51
334,57.3,49.8
335,52.1,46.5
336,59.3,46.9
337,60.4,50.4
338,60,50.3
339,62.2,50.1
340,62.2,50.3
341,61.9,53.1
342,61.5,52.8
343,58.7,51.7
344,55.3,48.4
345,54.1,46
346,53.2,43.9
347,51.7,43
348,57.6,46.4
349,58,48.9
350,57.6,48.3
351,61.7,52.4
352,62.9,51.2
353,61.7,52.1
354,59.2,51
355,56.6,49
356,53.9,46.4
357,52.1,44.4
358,50.7,43
359,52.2,41.3
360,53.2,41.6
361,53.7,41.6
362,55.4,42.6
363,51.8,43.7
364,51.6,43.3
365,49.2,42
366,49.9,41.8
367,49.2,41.6
368,50.5,41.9
369,51.2,41.4
370,50.6,42.3
371,48.4,41.9
372,50.5,42.9
373,48.7,41.8
374,50.3,43.6
375,51.8,43.9
376,56.7,47.4
377,61.7,52.1
378,61.6,53.7
379,61.4,54
380,61,53.4
381,61,53.2
382,59.5,52.2
383,59.1,51.2
384,58,48.8
385,60,50.1
386,58.1,50.6
387,59.1,50.8
388,59.9,51.1
389,58.9,51.1
390,60.5,51.4
391,58.4,50.3
392,58.2,51.4
393,56.8,51.8
394,59.3,53.2
395,57.8,54
396,59.9,57.3
397,60,53.9
398,61.3,51.7
399,61.2,52.6
400,59.1,51.5
401,58.2,50.3
402,59.1,52.1
403,58,49.1
404,59.8,52.1
405,58.7,51
406,58.6,50.6
