Tid (s),C1,C2
1,60.4,46.4
2,60.7,52.4
3,60.6,53
4,61.4,52.9
5,59.4,52.4
6,60.9,50.9
7,59.1,50.2
8,61.6,51.2
9,60.2,50.6
10,53.6,47.6
11,56.5,48
12,57.7,48.8
13,60.4,50.8
14,58.7,50.4
15,59.1,51.1
16,59.1,51.9
17,60.2,52.1
18,59,50.5
19,60,50.6
20,57.5,50.2
21,58.8,49.8
22,56.8,49.8
23,57.9,49.8
24,55.2,49.2
25,55.9,48.9
26,53,47.6
27,55.6,48.7
28,56.8,48.8
29,57.7,50.2
30,57.4,51.9
31,53.2,47
32,56.3,48.5
33,58.2,49.9
34,57,49.4
35,56.6,49.2
36,57.2,48.2
37,55.7,47.7
38,57.1,48
39,57.2,48.8
40,56.5,48.2
41,58.5,49.2
42,57.9,50.3
43,52.1,46.4
44,50.6,43.8
45,49.6,42.4
46,50.9,43.2
47,56.2,46.7
48,58,48.8
49,57.8,49.2
50,58.6,49.5
51,57.6,49.1
52,57.3,49.9
53,53.8,47.7
54,57.9,47.8
55,60.2,50
56,58.7,50.1
57,58.3,50.3
58,58.2,50
59,58.9,49.9
60,56.1,49.6
61,57.1,49.3
62,59.4,50.9
63,59.8,53.5
64,61.7,55.9
65,61.3,55.4
66,60.5,54.8
67,61.1,54.2
68,60.5,54
69,59.9,52.6
70,60.8,53.5
71,59.8,53.7
72,59.8,53.9
73,60.2,53.6
74,60.5,53.5
75,60.5,52.8
76,58.8,51.7
77,58.8,51.5
78,59.3,52.8
79,62.6,55.6
80,64.2,58.3
81,63.8,57.6
82,62.9,56.7
83,61.9,56
84,60.7,54.5
85,60.4,55
86,59.9,54.1
87,58.9,53.9
88,59.1,53.6
89,59.1,52.3
90,58.6,51.2
91,59.1,52
92,60.1,52.9
93,58.9,52.5
94,59.2,52
95,57.8,51.3
96,56.7,49.9
97,55.6,49.2
98,57.3,48.6
99,58.5,50.6
100,59.7,50.5
101,58.2,51.2
102,58.2,51.1
103,58.7,51.1
104,59.2,52.1
105,56.1,50.9
106,57.6,50.7
107,57,51.7
108,58,51.2
109,58.2,51.7
110,57.4,50.6
111,56.4,50.2
112,57.9,50.3
113,58.7,51.9
114,58,52.1
115,58.7,52
116,59.4,52
117,58.3,51.2
118,58.7,50.8
119,59.1,50.9
120,59,51
121,58.9,51
122,58.4,50.9
123,57.1,50.3
124,57.9,50.6
125,58.5,50.4
126,55.7,49.6
127,56.6,49.6
128,56.8,50.3
129,58.8,49.8
130,58.7,50.4
131,54.1,48.2
132,58.6,49.3
133,56.4,50.8
134,57,50.2
135,57.6,49.5
136,58.5,51.1
137,57.2,50
138,53.3,46.9
139,57.3,48.4
140,58,50.5
141,55.6,49.5
142,54.2,48.2
143,51.1,45.7
144,54.6,46.9
145,58,48.6
146,58.5,49.8
147,56.5,49.3
148,58.6,49.9
149,60.8,53.1
150,62.3,55.9
151,63.4,57.3
152,63.7,57.6
153,63,57
154,62,56.1
155,61.6,55.5
156,62.1,54.7
157,61.9,54.8
158,61.4,54
159,60.9,53.1
160,60.9,53
161,62.4,54.4
162,62.3,55.4
163,63.2,56.2
164,62.5,56.9
165,62.3,57.9
166,61.9,58.8
167,62.1,58.2
168,62,58.4
169,62.8,59.3
170,62.5,62.8
171,63.6,61.9
172,63.6,58.6
173,64.3,58.9
174,63.3,58.5
175,63.6,57.9
176,62.6,56.7
177,63,55.7
178,61.6,55.3
179,61.3,55
180,61.1,55.2
181,62.2,55
182,62.4,56.7
183,62.2,56.3
184,61.6,56.1
185,61.3,56.2
186,60.6,56
187,60.9,55
188,62.1,55.3
189,63.1,56.3
190,63.6,57.5
191,60.4,55.6
192,58.8,53.7
193,57.5,53.1
194,57.1,52.2
195,56.9,53.4
196,58.3,51.7
197,57,50.7
198,56.2,49.6
199,59,50.9
200,56.9,50.6
201,53.3,48.1
202,52.1,46.9
203,58,48.4
204,58.7,49.2
205,57.8,50.4
206,58.4,50.4
207,58.1,49.3
208,57.1,48.6
209,59.4,49.3
210,58.6,49.3
211,58,49.2
212,56.3,47.2
213,57.8,49.8
214,56.2,48.9
215,57,48
216,57,48.5
217,57.5,48.6
218,53.7,45.6
219,55.5,45.3
220,57.3,47.8
221,57.3,49.1
222,57.9,50.9
223,59.1,51.9
224,62.3,54.1
225,65.1,57.1
226,65.4,59.1
227,63.3,58.2
228,61.8,55.8
229,61.6,53.5
230,60.3,53.2
231,59.7,51.7
232,57.1,49.6
233,56.2,47.2
234,58.2,47.8
235,57.2,47.4
236,57.4,48.3
237,58,48
238,58.4,47.8
239,57.1,48.6
240,55.5,47.9
241,55.5,47.9
242,57.1,47.4
243,58.6,49.8
244,57.2,49.5
245,54.7,45.5
246,57.1,47.9
247,55.6,48.6
248,56.6,48.1
249,57.8,48
250,54.8,47
251,52.4,44.6
252,53.5,43.5
253,56,43.2
254,56.8,43.8
255,58,45.8
256,58.1,48.3
257,58.3,48.9
258,57.7,48.9
259,56.7,49
260,58.4,48.2
261,56.7,48.7
262,57.8,50.8
263,57.8,52.9
264,57.2,48.9
265,56.9,48.4
266,57,48.1
267,56.3,48.9
268,56.6,49.6
269,57.5,48.8
270,54.7,48.2
271,56.3,48.2
272,58.4,50.3
273,57.2,51.8
274,57,53.8
275,55,54.4
276,56.5,55.8
277,56.4,59.2
278,57.3,55.5
279,57.1,51.4
280,56.1,51.1
281,55.6,49.9
282,57.2,49.6
283,56.7,48.6
284,56.8,49.4
285,54.3,48.4
286,55.8,48.9
287,54.9,48.9
288,54.9,47.9
289,56.2,48.4
290,55.4,48.3
291,55.5,47.2
292,55.3,47.1
293,56.3,46.6
294,56.3,47.9
295,56.4,47.9
