Tid (s),C1,C2
1,69.8,46
2,68.6,47.7
3,60.1,46.8
4,68.7,45.7
5,64.9,47.1
6,61.4,47.6
7,62.8,45.3
8,57.2,43.4
9,63.1,43.3
10,62,43.9
11,59,44.5
12,61.7,45.7
13,59.9,46.2
14,65.3,47.4
15,61.2,47.6
16,48.6,47.8
17,48.3,49.6
18,47.6,48.6
19,47.3,50.6
20,46.9,51
21,59.7,52.4
22,51.3,53.6
23,53.3,53.4
24,61.7,55
25,61,52.4
26,49.8,52.2
27,48.7,52.5
28,52.8,52.4
29,49.3,53.9
30,54.7,52.6
31,56.4,53.6
32,54.7,54.2
33,52.8,55.6
34,52.1,57.4
35,53,55.9
36,53.5,56.8
37,51.5,58.7
38,53,58.7
39,53.4,56.2
40,54,54.6
41,55.6,53.8
42,55.3,52.9
43,54.8,52.1
44,54.1,52.1
45,58.8,51.5
46,54.1,51.8
47,53.7,51.8
48,60.6,52.3
49,53.9,52.6
50,47.2,51.3
51,46.9,49.5
52,46.5,50.4
53,50.3,49.1
54,51.5,49.5
55,55.2,50.4
56,51.2,48.4
57,60.2,50.6
58,56,51
59,52.5,48.6
60,52.4,48.8
61,62.5,47.6
62,49,48.7
63,48.8,49.5
64,51.7,50
65,56.2,48.9
66,51.2,47.9
67,50.9,48.5
68,59.3,50
69,51.5,50.8
70,49.5,50.3
71,52.6,49.2
72,52.2,52.4
73,50.4,52
74,44.9,50.1
75,46.3,49.7
76,53,50.2
77,52.5,50.7
78,49.6,49.5
79,48.6,50.9
80,47.7,52.3
81,50.8,53.4
82,47.8,52
83,50.6,51.4
84,53.7,50.8
85,45.5,51.9
86,48.6,52.6
87,54.6,52.7
88,54.2,52.3
89,48.4,54.7
90,54.5,55.1
91,45.1,52
92,44.2,52.9
93,43.3,52
94,43.8,48.3
95,44.5,48.1
96,45.2,48
97,45.7,48.4
98,44.1,48.3
99,44.6,50.1
100,44.8,51.1
101,45.6,51.7
102,48.4,50.3
103,43.3,50.4
104,44.9,48.7
105,46.3,48.1
106,46.8,46.7
107,50.3,48.5
108,49.6,49.9
109,50,51.1
110,52.4,51
111,52.3,52
112,54.3,52
113,56.4,53.7
114,56.6,53
115,56.8,54.2
116,59.5,56.3
117,61.2,56.3
118,63.3,56.5
119,64.3,60
120,63.2,59.6
121,58.9,55.7
122,59.3,56
123,58.9,53.4
124,58.4,54.1
125,56.5,51.7
126,56.4,51
127,54.8,50.9
128,53.8,50.7
129,52.5,50.9
130,53.8,50.1
131,54.4,51.3
132,54.2,53
133,54.3,50.4
134,53.6,49.5
135,53.2,51.3
136,57.6,53.2
137,63.7,53.4
138,63.1,53.2
139,62.3,53.1
140,61.6,59
141,58.6,55.1
142,58.9,52.6
143,55.6,52.3
144,50.5,50.6
145,51.9,50.3
146,42.7,52.4
147,34.3,53.4
148,44.1,51
149,52,50.7
150,54.6,50.3
151,52.8,48.6
152,53.6,49.4
153,50.6,46.5
154,50.7,46.5
155,50.9,47.2
156,51.7,47.3
157,53,47.8
158,53.3,48.7
159,53.2,50
160,50.7,52.1
161,50.6,52
162,47.9,53
163,48.6,54.9
164,49.6,53.3
165,55.5,54.3
166,51.2,54.5
167,52.6,59.1
168,54.7,55.7
169,55.6,56.6
170,53.5,56.8
171,50.5,54.2
172,49.3,55
173,47.5,55.3
174,47.2,55.1
175,49.2,55.6
176,47.2,56.6
177,47.3,57.1
178,46.8,56
179,53.4,55.5
180,48.2,55.1
181,51.1,56.8
182,52.7,57.1
183,48.9,57.6
184,48.5,59.2
185,47,63.8
186,52.1,61.5
187,44.8,56.5
188,44,55.5
189,45.8,55
190,46.4,55.5
191,51.6,55.4
192,45.1,55
193,43.9,54.7
194,44.6,54.1
195,45.7,54.1
196,44,53.4
197,46.2,56
198,46.6,54.4
199,51.5,51.5
200,46.9,51.4
201,44.9,50.7
202,50,49.7
203,44.3,48.7
204,45.1,46.9
205,45.9,46
206,45.7,46
207,52.7,48.5
208,66,48.6
209,47.2,49.2
210,43.4,49.2
211,38.9,53.2
212,41.8,52.2
213,47.1,51.5
214,47.2,52.6
215,44.2,53.1
216,44.5,53.4
217,45.3,52
218,46.9,54.2
219,48.8,53.8
220,46.9,54.7
221,47,54.7
222,53.8,53.5
223,53.6,54.5
224,49,54.7
225,56.8,57
226,55.6,56.8
227,51.1,53.2
228,53.5,52.8
229,57.7,51.7
230,58.4,53
231,58.1,52.1
232,51.6,47
233,51.5,45.1
234,51.2,45
235,52.2,44.2
236,55.7,41.9
237,53.8,41.3
238,52.4,41.3
239,54.6,42.3
240,50.8,42.3
241,60.9,42.1
242,56.6,42.9
243,49.9,44
244,46.9,44.2
245,56.3,44.2
246,48.8,44.3
247,48.5,44.7
248,48.6,46.6
249,49.3,47.7
250,50.2,48.4
251,58,47.8
252,69.7,50.6
253,58.5,52.7
254,53,51.3
255,50.2,52.6
256,50.8,51
257,50.8,48.7
258,50.6,50.6
259,50.5,49.5
260,51.1,47.2
261,50.4,46.7
262,51.9,46
263,51.8,45.9
264,52.3,45.6
265,53.1,48.9
266,53.1,47
267,52.4,45.7
268,54.5,44.4
269,55.9,44.4
270,58.3,44.2
271,59.4,43.9
272,66,45.8
273,68.8,46.1
274,63.6,47.2
275,59.5,48
276,62.4,48.3
277,60,51.9
278,59.4,51.9
279,59.1,52.8
280,58.2,52.9
281,58.9,55.2
282,59.5,55.6
283,59.6,52.2
284,59.2,51.6
285,60.6,51.5
286,60.6,55.3
287,60,54.8
288,59.3,55
289,57.7,55.6
290,56.3,54.6
291,57,59.9
292,55.9,59.3
293,55.6,54.9
294,55.4,55.6
295,55.5,55
296,55.1,52.8
297,55,51.5
298,55.2,52.6
299,55.7,53
300,56.7,52.8
301,57.3,52.5
302,59.2,51.6
303,58.6,51.1
304,57.6,50
305,57.1,49.8
306,57.8,50.4
307,58.4,50.2
308,58.9,48.1
309,60.3,48.3
310,60.1,48.8
311,60.9,49.9
312,62.1,50.5
313,61.6,49.8
314,61.6,51
315,63.1,51.5
316,62.6,54.4
317,60.9,55.9
318,59.2,56.1
319,58.4,57.5
320,57.6,62.8
321,59.3,62.9
322,59.3,55.9
323,58.3,53.5
324,60.5,51.7
325,61.8,50.7
326,63.2,53.2
327,63.7,54.5
328,62.6,53.5
329,61.5,52.8
330,60.8,52.7
331,59.8,56.5
332,60.9,54.6
333,61.5,55.1
334,63.8,53.4
335,67,56.2
336,70.5,55.4
337,74.3,56.3
338,74.7,56.4
339,74.6,60.7
340,72,59
341,69,56
342,68.6,56.1
343,68.2,55.6
344,69.4,52.8
345,69.5,56.1
346,65.7,54.4
347,65,52.2
348,68.2,52.4
349,70.9,52.6
350,72.8,53.9
351,69.5,53.5
352,69.7,53.1
353,71.9,52.5
354,74.3,51.7
355,67.9,52.4
356,66.1,54
357,65.9,53.5
358,66,52.5
359,65.8,58.1
360,64.3,57.8
361,63.1,50.9
362,64.4,50.2
363,65.4,50.7
364,65,49.4
365,62.9,48.8
366,63.6,48
367,61.3,49.3
368,61,50.2
369,61.5,51.3
370,60.6,51
371,61.2,49.8
372,63.6,52.3
373,65.9,52.1
374,66.2,53.4
375,67.9,54.4
376,69,56.4
377,67.7,58.2
378,66.7,55.8
379,66.2,52.9
380,64.6,53.4
381,64.4,51.3
382,64.2,52
383,64.7,52.1
384,64,53.7
385,62.1,52
386,58.6,52.1
387,57.3,53.2
388,56.8,51.3
389,56.4,50.5
390,56,50.6
391,56.3,51.5
392,56.4,52.1
393,56.6,52.6
394,57.1,51.7
395,57.2,52.6
396,58.1,53.2
397,61.5,53.3
398,66.1,52.4
399,67,53
400,63.1,53
401,61.9,51.6
402,60.2,51.6
403,59,49.9
404,56.1,51.8
405,55.7,52.3
406,55.6,51.1
407,56.4,50.3
408,56,49.4
409,55.6,49.8
410,55.6,50.8
411,55.6,51.4
412,55.5,52.4
413,55.8,54
414,56,59.5
415,55.8,61.1
416,56.2,57.5
417,57,55.3
418,57.9,55.3
419,58.2,56.1
420,57.2,55.9
421,58.7,56.3
422,57.9,57
423,58,54.1
424,58.9,54.9
425,61.7,54.9
426,61.9,58.7
427,63.9,55.6
428,64.7,54.8
429,66.3,57.3
430,68.4,57
431,71,54
432,72.2,54.6
433,81.6,57.3
434,78.1,58
435,75.8,51.8
436,73.2,51.1
437,71.9,50.5
438,68.4,50.7
439,67.1,51.1
440,66,53.6
441,63.3,53.3
442,63.8,53
443,63.6,52.7
444,59.7,52.5
445,60.8,52.7
446,59.6,53.6
447,66.1,53.2
448,63.4,56.1
449,57.1,55.8
450,58.4,54.7
451,57.9,53.7
452,62.3,54
453,59.3,53.6
454,60.6,51.8
455,57.2,51.5
456,58.5,51.8
457,63,52.8
458,59,52.3
459,59.7,53
460,55.9,53.1
461,57,54.7
462,60,53
463,58.2,53.5
464,59.1,54
465,62.3,53
466,62.1,54.8
467,60.5,54.9
468,58.8,52.2
469,56.9,54.3
470,56.2,54.8
471,57,51.9
472,55.7,52.5
473,57.3,52
474,60,55
475,65.5,52
476,61.9,50.9
477,65.6,49.2
478,60.9,48.4
479,60.8,48.2
480,62.9,49
481,56,50.5
