Tid (s),C1,C2
1,66.2,45.4
2,62.2,47
3,56.5,45.7
4,63,45
5,60.9,45.8
6,51.8,46.4
7,57.2,43.3
8,51.7,43.2
9,58.3,42.8
10,59.4,43.2
11,52.7,44.2
12,57.2,45.3
13,54,45.7
14,60.1,46.8
15,50.7,46.9
16,48,47
17,47.7,48.8
18,47,48
19,46.4,50.2
20,46.1,50.3
21,54.1,51.4
22,47.3,52.7
23,48.2,52.2
24,57.9,53.8
25,55.4,51.5
26,47.8,51.4
27,47.9,52
28,49.7,51.3
29,48.6,53
30,52,51.8
31,53.2,53.1
32,51.6,53.5
33,51.2,54.9
34,51.3,56.4
35,51.9,54.5
36,51.7,55.9
37,51.1,58.4
38,52,56.8
39,52.6,54.7
40,53.4,53.9
41,54.6,53.2
42,53.8,51.8
43,53.4,51.6
44,53.2,51.3
45,54.6,51
46,52.3,51.2
47,51.5,51.2
48,54.8,51.4
49,48.5,51.8
50,46.5,49.5
51,46.3,49.1
52,45.4,49.6
53,46.9,48.3
54,47.3,48.5
55,50.5,49.3
56,49.4,48
57,53.8,49.1
58,51.8,49
59,49.4,47.9
60,49.9,47.6
61,55.5,47.1
62,47.1,48.1
63,47.9,48.6
64,49.5,49.3
65,51.5,47.8
66,48.7,47.3
67,48.6,48.2
68,52.9,49.4
69,48.8,50.3
70,46.9,49.3
71,48.6,48.3
72,47.4,51
73,47.2,49.4
74,44.1,49.7
75,45.3,48.7
76,49.1,49.8
77,47.7,50
78,47.3,48.9
79,47.1,50
80,45.7,51.6
81,47.8,52.7
82,45.5,50
83,48.2,50.7
84,48.2,50.3
85,43.4,51.6
86,45.5,51.3
87,48,50
88,44.3,51.3
89,45.2,52.9
90,49.3,53.6
91,43.6,50.9
92,43.6,51.7
93,42.8,49.3
94,43.5,46.5
95,43.7,46.8
96,44,47.2
97,43.8,47.9
98,43.6,47.7
99,43.7,49
100,44,49.7
101,44.4,50.7
102,44.3,48.3
103,43,49.3
104,44.1,47.9
105,45.8,47.2
106,46.5,46.2
107,47.8,48
108,48,49
109,49.3,50.7
110,50.9,50.6
111,51.8,51.3
112,53.8,51.6
113,55.2,52.8
114,55.3,52.3
115,56.1,53.5
116,58.3,55
117,60.5,55.8
118,62.5,56
119,63.8,57.5
120,60.3,56.6
121,58.6,54.6
122,58.9,55.1
123,58.5,52.2
124,57.1,52.8
125,55.2,50.5
126,55.8,50.6
127,53.3,49.9
128,53.2,50.2
129,52,50.2
130,52.9,49.5
131,54,50.1
132,53.7,52
133,53.5,49.2
134,52.3,49
135,52,50.3
136,55.5,52.5
137,61.9,52.7
138,61.4,52.6
139,61.7,52
140,59.4,57.3
141,57.2,52.3
142,56.8,52.1
143,52.5,49.2
144,48.2,49.6
145,49.2,49.9
146,34.1,51.7
147,34.1,52.4
148,40.7,49.3
149,49.4,49.6
150,51.6,48.6
151,51.9,47.7
152,51.9,48
153,50.1,45.9
154,50.1,46
155,48.1,46.8
156,50.5,46.8
157,52.7,47.4
158,52.8,48.5
159,52,49.3
160,50.3,51.2
161,49.1,51.4
162,47,51.9
163,47.9,54.1
164,49,52.6
165,51.5,53.9
166,50.9,54.2
167,51.9,57.7
168,53.5,54.5
169,54.8,54.8
170,51.7,54.7
171,49.6,53.7
172,48,54.4
173,46.9,54.7
174,46.5,54.5
175,46,55
176,46.1,56
177,46.3,55.1
178,46.4,55.6
179,48,54.3
180,46.6,54.9
181,50.1,55.8
182,50.4,55.9
183,48.1,56.7
184,46.5,57.7
185,46.1,62.2
186,47.2,57.3
187,43.8,55.8
188,43,55
189,43.8,54.1
190,44.3,54.7
191,48.6,54.9
192,43.8,54.3
193,43.6,53.2
194,44.1,53.5
195,44.2,52.1
196,43.6,52
197,44.2,55.1
198,44,51.3
199,46.2,50.4
200,44.6,49.9
201,44.2,49.4
202,45.7,49
203,43.5,46.9
204,43.7,46.3
205,44.4,45.3
206,44.6,45.6
207,46.7,47.5
208,59.3,48.2
209,42.7,48.6
210,39,48.5
211,35.8,51.9
212,40.8,50.8
213,43,50.9
214,44.1,51.7
215,43,52.1
216,43.7,52.1
217,44.8,51.6
218,45.3,53
219,46,52.1
220,46,53.7
221,46.1,53.8
222,49.3,53.1
223,49.2,53.9
224,48.2,54.2
225,51.8,55.7
226,52.6,53.3
227,50.3,52.8
228,52.4,51.2
229,55.2,50.3
230,56.4,51.6
231,54.2,47.8
232,48.9,45.8
233,49.2,44.7
234,48.4,44.4
235,48.7,42.8
236,53.5,41.1
237,49.5,40.8
238,48.7,40.7
239,51.7,41.7
240,48.5,41.5
241,55.1,41.7
242,45.2,42.5
243,46.3,43.3
244,45.6,43.6
245,50.4,43.7
246,46.3,43.9
247,46.9,44.4
248,47.1,46.1
249,48.2,46.8
250,48.6,47.9
251,52.1,47.2
252,61.2,48.8
253,48.6,51.5
254,49.8,49.9
255,49.4,51.6
256,49.9,49.8
257,50.1,47.8
258,49.8,49.9
259,49.6,47.5
260,50.1,46.5
261,50.1,45.6
262,50.8,45.5
263,51.2,45.4
264,52,44.5
265,52.1,48
266,52.3,44.7
267,52.1,45.1
268,53.5,43.6
269,54.9,43.9
270,56.9,43.8
271,57.7,43.6
272,61,44.8
273,63.9,45.5
274,58.3,46.3
275,58.2,47.6
276,60.1,47.8
277,58.8,50
278,58.8,50
279,58.4,51.2
280,57.6,52.4
281,58,53.7
282,59,53.3
283,58.6,51.6
284,58.8,50.8
285,60,50.9
286,59.8,53.3
287,59.4,54.2
288,58.3,54.3
289,56.3,54.9
290,55.8,53.9
291,56.3,58.1
292,55.3,55.6
293,55.2,54
294,54.9,54.7
295,55,53
296,54.6,52
297,54.8,50.5
298,55,51.1
299,55.4,52.1
300,56.2,52.1
301,56.9,50.5
302,57.9,51.1
303,57.5,50.1
304,56.7,49.3
305,56.6,49
306,56.9,49.4
307,58.1,49.1
308,58.4,47
309,59.2,47.8
310,59.7,48.5
311,60.5,49.6
312,61.5,49.7
313,60.7,49.4
314,60.8,50.1
315,62.6,50.9
316,61.2,53
317,59.7,55.3
318,58.7,54.9
319,57.7,56.7
320,57.3,61
321,57.7,59
322,58.6,54.5
323,57.8,52.3
324,59.7,51.2
325,61.2,50.2
326,62.5,51.7
327,63.1,53.6
328,61.1,52.9
329,60.3,52
330,59.8,52.3
331,59.4,55.4
332,60.3,53.3
333,60.9,53.8
334,62.9,53.1
335,65.9,55.4
336,69.5,54.5
337,73.1,55.5
338,74.4,55.5
339,73.4,59.7
340,70.1,57.1
341,68.6,54.4
342,67.4,55.4
343,67.7,53.5
344,68.3,52.3
345,67.8,55.2
346,64.5,52.4
347,64.5,51.9
348,66.5,51.7
349,69.9,51.7
350,71.6,52.8
351,68.1,53
352,69.2,52.6
353,70.6,51.1
354,70.4,51.3
355,65.8,51.7
356,65.3,53.5
357,65.4,52.4
358,65.5,51.4
359,64.1,55.7
360,63.6,53.5
361,61.4,50.5
362,63.2,49
363,63,49.6
364,61.3,49
365,60.5,47.4
366,60.4,47.6
367,59.4,48.2
368,60.4,49.6
369,61,50.7
370,59.6,50
371,60.2,49.3
372,62.3,51.4
373,63.8,51.4
374,65.3,52.5
375,67,53.7
376,68,55.5
377,65.8,57.4
378,65.4,53.5
379,63.7,52.6
380,64.1,51.7
381,63.6,50.8
382,63.7,51.2
383,64.2,51.5
384,63,52.7
385,59.7,50.6
386,57.6,50.6
387,56.6,52.6
388,56.3,49.7
389,55.8,50.1
390,55.7,50
391,55.8,50.7
392,56.1,51.3
393,56.4,52.1
394,56.8,51.2
395,56.9,52.1
396,57.7,52.7
397,59.7,52.6
398,65.1,51.4
399,65.4,51.6
400,62.3,52
401,60,51.1
402,59.5,50.2
403,56.4,49.5
404,55.7,50.6
405,55.3,51.1
406,55.3,50.1
407,55.6,49.5
408,55.3,48.9
409,55.3,49.1
410,55.3,50.4
411,55.1,50.6
412,55.3,52
413,55.5,53.5
414,55.6,57.1
415,55.5,59.9
416,56,55.8
417,56,54.5
418,57,54.8
419,56.8,55.6
420,56.8,54.7
421,57.2,53.8
422,57.2,55.6
423,57.6,53.5
424,58.1,54.1
425,60.8,53.9
426,61.4,57.2
427,62.8,54.1
428,64.3,54.4
429,65.6,55.6
430,66.6,54.2
431,69.5,53.3
432,71.5,54.2
433,77,55.3
434,76.4,54.5
435,74.2,51.1
436,72.2,50.4
437,67.6,50.1
438,66.9,50
439,66.3,50.4
440,64.4,53.1
441,62.4,52.2
442,62.7,52.5
443,61.3,52
444,58.4,52
445,59.5,52.3
446,58.7,53
447,62.7,52.8
448,58.8,54.7
449,55.6,52.6
450,56.3,53.6
451,56.2,53.1
452,58.5,52.7
453,57.5,52.1
454,57.5,51.3
455,56.2,51.2
456,56.6,51.4
