Tid (s),C1,C2
1,67,54.1
2,66.6,50
3,64,49.9
4,58.4,49.2
5,54.4,48.7
6,49.8,49.6
7,46.3,48.9
8,47.5,45.6
9,46,43.9
10,44.4,43.5
11,44.1,42.2
12,43.5,40.9
13,43.7,40.8
14,44,39.8
15,44.6,38.8
16,44.3,38.7
17,46,38.6
18,46.9,40.1
19,51.2,40.5
20,49.7,39.8
21,55.2,42
22,61.2,44.2
23,63.6,44.4
24,62.2,46.8
25,57.1,49.8
26,54.8,52.2
27,59.2,55.3
28,63,61.4
29,62.9,62.2
30,60.8,60.1
31,62.8,57
32,63.1,54.9
33,63.2,56.7
34,63.1,60.2
35,66.1,64.3
36,70.8,66.4
37,70.8,67.7
38,68.1,68.7
39,64.2,66.8
40,65.8,63.8
41,67.9,68
42,69,71.5
43,68.8,73.2
44,68,72.8
45,68,70.9
46,69.4,66.8
47,70.7,67.3
48,74,67.8
49,74.6,64.9
50,72.5,62.6
51,67.3,63
52,66,64.2
53,67.4,65.8
54,67.2,66.7
55,66,68
56,64.1,66.1
57,62.9,66.2
58,61,68.6
59,60.9,69.5
60,61.5,69.9
61,62.2,68.9
62,62.5,68
63,65.2,65.4
64,67.2,61.7
65,69,60.4
66,69.5,60.1
67,69.4,58.1
68,69.2,53.3
69,66.3,52.6
70,63.9,52.8
71,58.7,52.2
72,54.1,52.4
73,53.3,51.8
74,53.3,52.5
75,52.9,52.9
76,52.4,56.2
77,51.7,60.5
78,53.6,64.1
79,54.7,65.9
80,56.4,65.9
81,59.9,64
82,62.8,62.9
83,63,65.9
84,67.5,68.6
85,67.7,72.2
86,65.8,74.5
87,63.8,73.6
88,64.7,69.4
89,65.3,67.2
90,69.6,67.5
91,75.1,67.1
92,76.4,69.1
93,73.7,69
94,70,65.9
95,67.4,62.8
96,68.7,61.4
97,69.3,61.8
98,71.1,62.9
99,70.6,64
100,68.3,64.3
101,64.5,62.9
102,60.8,62.9
103,58.4,63.9
104,56.1,66.5
105,55,63.3
106,55.3,60.1
107,54.3,56.9
108,53.7,55.7
109,54,55.2
110,54.9,53.5
111,57.3,54.1
112,62.6,52.5
113,64.6,49.8
114,65.4,50.1
115,64.4,53.1
116,67.6,54.9
117,68.4,57.8
118,67.9,60
119,65.1,63.8
120,64.7,64.5
121,61,63
122,58.9,65.7
123,60.5,67.9
124,59.8,67.5
125,62.3,63.2
126,62.6,64
127,59.2,64.2
128,58.2,60.7
129,57.2,58.6
130,57.4,58.1
131,54.2,57
132,55.3,56.8
133,54.9,58.1
134,52.6,55
135,49.9,51.2
136,50.8,51.3
137,51.4,54.1
138,53.5,56.2
139,55.8,56.6
140,57.2,59.9
141,59.5,63.5
142,63.5,65.5
143,63.8,65.1
144,64.7,65.6
145,65.4,62.6
146,67,60.3
147,68.7,59.7
148,72.5,59.4
149,73.4,61.9
150,71,62
151,68.5,63.1
152,66.3,65.3
153,65.5,66.8
154,64,69
155,65.5,69.1
156,65.6,66
157,67.4,65.7
158,67.8,67.6
159,65.9,69
160,65.6,70.2
161,65.4,71.3
162,65.3,70.8
163,64,71.9
164,64.5,70.9
165,67.4,68.6
166,68.5,67.1
167,70.6,65.4
168,70.6,63.7
169,71.7,62.5
170,71.9,60
171,72.7,58.9
172,71.3,57.3
173,68.9,56.8
174,67.6,57.6
175,71.5,60.8
176,72,63.2
177,71.2,64.6
178,66.5,67.6
179,63.4,70.2
180,61.9,75.4
181,62.3,78.5
182,65.6,78.4
183,67.8,73.2
184,69.1,71.7
185,72.7,71.8
186,77.4,70.5
187,77.7,65.8
188,75.7,66.6
189,73.3,67.1
190,73.9,67.4
191,72.8,68
192,70.6,70.1
193,69.6,74.4
194,69.4,74.6
195,70.4,70.4
196,69.7,66.1
197,70.7,63.3
198,72.7,64.2
199,76.6,67.4
200,76.1,67.9
201,71.4,69.5
202,66.9,70.3
203,62.4,69.9
204,60.8,67.4
205,61.6,61.9
206,66.5,60.5
207,68.2,60.2
208,68.4,61.1
209,67.6,58.1
210,66.7,57.4
211,63.7,56.8
212,60.9,55.9
213,58.6,56.1
214,55.7,53.2
215,52,52.1
216,50.8,51.1
217,48.9,50
218,49.7,50.5
219,50.2,48.3
220,52.7,49.9
221,54.5,51.8
222,54.4,53
223,52.2,51.6
224,53.7,52.7
225,54.4,53.6
226,54,53.4
227,53.4,53.7
228,54,53.9
229,55.4,53.8
230,55.2,54
231,54.5,54.1
232,54.1,54.2
233,53.6,54.5
234,53.9,54.6
235,54.8,55.9
236,54.8,57.9
237,55.8,60.3
238,55.6,63.1
239,55.4,66.6
240,55.7,70.1
241,58.5,70.8
242,64.2,69.9
243,66.4,67.8
244,66.4,66.1
245,69,65.9
246,70.4,64.9
247,72.7,64.6
248,72.2,66.1
249,72.7,66
250,72.2,65
251,69,66.3
252,67,66.9
253,66.1,66.9
254,65.2,66.5
255,63.2,66.9
256,60.9,64.9
257,60.2,62.2
258,58.5,59.5
259,57.4,57.5
260,56.1,56.9
261,55.3,57.5
262,56.9,55.1
263,55.9,54.9
264,54.3,52.1
265,55.8,51.7
266,63.5,47.9
267,71.4,51.5
268,72.5,54.8
269,68,57
270,65.9,60
271,67.5,62.9
272,66.6,69.1
273,62.8,70.4
274,62.8,68.3
275,62,67
276,61.4,67.5
277,62.3,67.3
278,64.6,67
279,66.6,66.3
280,69.7,65.3
281,69.3,63.4
282,67.3,62
283,66.5,62.8
284,68.8,64.2
285,69.3,66.1
286,69,68.2
