Tid (s),C1,C2,,,
1,66.4,51.4,,,
2,65,49.5,,,
3,60.6,49.5,,,
4,55.9,48.5,,,
5,51.8,47.6,,,
6,47,49.2,,,
7,45.7,47.3,,,
8,46.7,44.2,,,
9,44.5,43.2,,,
10,44,42.9,,,
11,43.3,41,,,
12,43.1,40.5,,,
13,43.4,39.5,,,
14,43.4,38.4,,,
15,44,38.3,,,
16,43.8,38.4,,,
17,44.4,37.8,,,
18,46.1,39.6,,,
19,47.6,39.5,,,
20,48.5,39.4,,,
21,53.1,41,,,
22,59.6,43,,,
23,62.9,43.8,,,
24,59.5,45.6,,,
25,54.7,48.5,,,
26,53.9,51.4,,,
27,57.7,54.2,,,
28,61.8,59.3,,,
29,61.2,61.4,,,
30,59.9,58.4,,,
31,61.9,55,,,
32,62.6,54,,,
33,62.8,55.3,,,
34,62.7,59,,,
35,64.4,62.8,,,
36,68.9,66,,,
37,69.3,66.8,,,
38,65.2,67.5,,,
39,63.4,65.1,,,
40,64.4,62.7,,,
41,66.9,66,,,
42,68.2,70.5,,,
43,68,71.8,,,
44,67.1,71.2,,,
45,67.3,68.4,,,
46,68.1,66.3,,,
47,70,66.9,,,
48,72.8,66.1,,,
49,73.1,62.5,,,
50,70.1,62.1,,,
51,65.7,62.6,,,
52,65.4,63.7,,,
53,66.9,64.8,,,
54,66.7,66.1,,,
55,64.4,67.1,,,
56,62.5,65.6,,,
57,62.2,65.6,,,
58,60.2,67.7,,,
59,59.9,69.1,,,
60,60.8,69.3,,,
61,61.2,68.4,,,
62,61.9,66.4,,,
63,64,62.9,,,
64,66,60.7,,,
65,68.3,60,,,
66,69,59.2,,,
67,68.9,55.1,,,
68,67.7,52.9,,,
69,64.2,51.1,,,
70,61,52.2,,,
71,56.4,51.7,,,
72,52.5,51.4,,,
73,52.8,51.3,,,
74,53,52,,,
75,52.1,52.6,,,
76,51.8,54.7,,,
77,51.1,59.2,,,
78,52.3,63,,,
79,53.9,65.1,,,
80,55.2,65.2,,,
81,58.8,62.4,,,
82,61,62.2,,,
83,62,64.8,,,
84,65.8,67.3,,,
85,66.5,70.6,,,
86,64.4,73.7,,,
87,62.7,71.6,,,
88,63.6,67.6,,,
89,64.8,66.7,,,
90,68.6,66.8,,,
91,73.5,66.6,,,
92,74.4,68.6,,,
93,71.9,66.9,,,
94,67.1,62.6,,,
95,66.9,60.8,,,
96,67.5,60.8,,,
97,68.1,61.5,,,
98,70.3,62.4,,,
99,69,63.6,,,
100,66.1,63.5,,,
101,62.1,61.2,,,
102,58.9,61.9,,,
103,56.8,63.5,,,
104,54.8,64.9,,,
105,54.3,61.8,,,
106,54.6,58.3,,,
107,53.6,55.5,,,
108,53.4,55.2,,,
109,53.2,53.3,,,
110,53.8,52.9,,,
111,56.5,53.2,,,
112,61.3,51,,,
113,64.2,49.2,,,
114,64.7,49.8,,,
115,63.2,51.5,,,
116,66.3,54.2,,,
117,67.9,56.8,,,
118,65.9,59,,,
119,64.5,62.8,,,
120,62.3,63,,,
121,59,62.6,,,
122,58.4,64.6,,,
123,59.4,67.4,,,
124,59.1,64.8,,,
125,61.1,62.3,,,
126,60.6,63.2,,,
127,58.1,62.9,,,
128,57.2,59,,,
129,56.6,58,,,
130,55.6,57.3,,,
131,53.5,55.7,,,
132,54.6,55.3,,,
133,52.9,56.6,,,
134,50.6,52.9,,,
135,49.2,50.3,,,
136,50.2,50.9,,,
137,51,53.2,,,
138,52.1,55.5,,,
139,55,55.8,,,
140,56.3,58.8,,,
141,58.3,61.9,,,
142,62.3,64.6,,,
143,63.4,64.2,,,
144,64,64.1,,,
145,64.2,60.4,,,
146,66.5,59.6,,,
147,68,56.9,,,
148,71.5,58.1,,,
149,72.2,61,,,
150,69.1,61.1,,,
151,67.2,62.3,,,
152,65.5,64.7,,,
153,64.2,65.1,,,
154,63.6,68.3,,,
155,64.5,67.4,,,
156,65.2,64.8,,,
157,66.4,64.9,,,
158,66.4,66.9,,,
159,65.3,68,,,
160,65.1,69.6,,,
161,65,70.5,,,
162,63.9,70.2,,,
163,63.2,71.2,,,
164,63.5,69.5,,,
165,66.4,67,,,
166,67.4,65.9,,,
167,69.8,64.1,,,
168,69.8,62.7,,,
169,70.8,60.9,,,
170,71.4,59.2,,,
171,71.3,58.1,,,
172,68.9,56.5,,,
173,68.1,56.4,,,
174,66.5,57,,,
175,69,59.7,,,
176,71.3,62.2,,,
177,68.6,63.9,,,
178,64.5,66.5,,,
179,61.6,68.8,,,
180,61.3,73.1,,,
181,61.8,77.5,,,
182,64,75,,,
183,66.9,70.3,,,
184,68.7,71.3,,,
185,71.5,71.2,,,
186,75.8,67.7,,,
187,76.7,64.5,,,
188,73.3,65.8,,,
189,72.1,66.4,,,
190,73.2,66.2,,,
191,71.5,67.1,,,
192,69.5,69.5,,,
193,67.4,72.9,,,
194,68.7,72.8,,,
195,69.7,67.4,,,
196,68.9,64.4,,,
197,69.7,61.4,,,
198,71.3,63,,,
199,75.2,66.6,,,
200,74,66.9,,,
201,68.4,68,,,
202,64.2,69.4,,,
203,60.6,68,,,
204,60,64.2,,,
205,61.2,60.7,,,
206,64.6,60.2,,,
207,67.1,58.9,,,
208,67.6,59.8,,,
209,66.9,57.4,,,
210,65.1,56.8,,,
211,61.7,56,,,
212,59.5,55.4,,,
213,56.9,54.4,,,
214,53.9,52.8,,,
215,51.1,50.9,,,
216,49.6,49.7,,,
217,48,49.3,,,
218,48.6,49.1,,,
219,49.9,47.3,,,
220,51.9,49.2,,,
221,53.6,51.1,,,
222,53.2,52,,,
223,51.8,51,,,
224,53.1,52.2,,,
225,54.1,52.8,,,
226,53.3,53,,,
227,52.9,52.8,,,
228,53.4,53.4,,,
229,55,53,,,
230,54.8,53.6,,,
231,54,53.5,,,
232,53.4,53.5,,,
233,53.2,54.1,,,
234,53.3,54.2,,,
235,54,55.4,,,
236,54.6,57.2,,,
237,55.2,59.3,,,
238,55.1,62,,,
239,54.8,65.6,,,
240,55,68.6,,,
241,57.6,70.1,,,
242,62.3,68.9,,,
243,65.6,66.6,,,
244,65.8,65.6,,,
245,67.9,65.3,,,
246,69.7,64.5,,,
247,71.7,63.5,,,
248,71.6,64.6,,,
249,71.8,64.2,,,
250,70.5,63.6,,,
251,67.1,65.2,,,
252,66.3,65.6,,,
253,64.8,65.4,,,
254,64.4,65.7,,,
255,61.7,66.3,,,
256,60.1,62.7,,,
257,58.8,60.7,,,
258,56.9,58.6,,,
259,56.4,56.7,,,
260,55.4,56.3,,,
261,55.1,56.6,,,
262,56.1,54.7,,,
263,54,52.8,,,
264,53.4,51.5,,,
265,54.5,49.7,,,
266,61.2,46.8,,,
267,69.8,50,,,
268,70.8,53.5,,,
269,65,56,,,
270,64.6,58.8,,,
271,67.1,62,,,
272,64.7,66.9,,,
273,61.9,69.7,,,
274,62,67.1,,,
275,61.3,66.3,,,
276,60.7,66.6,,,
277,62,66.3,,,
278,63.4,66.5,,,
279,65.3,65.6,,,
280,68.8,63.4,,,
281,68.5,62.2,,,
282,64.8,61.5,,,
283,65.5,62.2,,,
284,67.9,63.7,,,
285,68.6,64.8,,,
286,68.1,67.4,,,
287,67.6,69.3,,,
288,67.1,72.3,,,
289,64.9,72.8,,,
290,64.5,69.9,,,
291,66.8,67.9,,,
292,70.5,66.9,,,
293,73.1,65.9,,,
294,74.4,64.8,,,
295,72.6,63.7,,,
296,69.8,59.9,,,
297,67,59.4,,,
298,63.4,58.2,,,
299,61.3,57.1,,,
300,59.5,55.9,,,
301,57.4,55.5,,,
302,56.1,55.1,,,
303,54.2,51.7,,,
304,50.7,51.4,,,
305,48.1,47.8,,,
306,46.9,43.2,,,
307,46.6,41,,,
308,46.5,40.9,,,
309,47.1,39.5,,,
310,48.2,39.5,,,
311,49.8,43.5,,,
312,50.8,48.5,,,
313,53.3,52,,,
314,56,53.5,,,
315,58.2,54.3,,,
316,58.8,54.8,,,
317,58.5,57.7,,,
318,57.5,61.1,,,
319,57.8,66.5,,,
320,57.5,68.8,,,
321,58.1,68.3,,,
322,61.2,68.7,,,
323,63.1,67.2,,,
324,65.7,64.7,,,
325,69.5,61.8,,,
326,70.8,60.4,,,
327,73.5,59.6,,,
328,72.1,56.7,,,
329,70.8,55.5,,,
330,67.8,57.5,,,
331,64.6,60.7,,,
332,63.3,63.5,,,
333,64.9,67,,,
334,66.5,71.2,,,
335,65.9,73.3,,,
336,66.1,68.7,,,
337,67.4,65.8,,,
338,68.2,66.9,,,
339,65.5,70.6,,,
340,67.2,69.8,,,
341,65.9,67.3,,,
342,63.3,66.3,,,
343,63.9,66.9,,,
344,66.2,65.2,,,
345,69.9,66.4,,,
346,70.4,67.6,,,
347,67.4,68.9,,,
348,64.5,68.1,,,
349,62.5,65.7,,,
350,62.4,65.4,,,
351,64.4,66.3,,,
352,67,65.7,,,
353,68.3,64.7,,,
354,65.5,64.3,,,
355,62.1,63.5,,,
356,62.5,64.7,,,
357,64.6,64.7,,,
358,65.3,64.2,,,
359,64.4,65.1,,,
360,64.1,64.6,,,
361,63.8,63.7,,,
362,63,62.4,,,
363,64.2,60.9,,,
364,65.7,62.2,,,
365,65.6,62.7,,,
366,65.7,62.2,,,
367,65.4,59.3,,,
368,64.3,57.3,,,
369,64.8,56.5,,,
370,62.4,55.9,,,
371,64.1,57.4,,,
372,63.7,59.6,,,
373,61.5,62.2,,,
374,59,63.1,,,
375,58.6,61.5,,,
376,57,62.4,,,
377,56.5,65.4,,,
378,59.9,66.2,,,
379,63.9,66.7,,,
380,65.9,67.3,,,
381,64.8,66.2,,,
382,64.3,63.1,,,
383,67.3,61,,,
384,72,60,,,
385,78.9,58.2,,,
386,76.8,56.8,,,
387,71.6,57.3,,,
388,67.3,61,,,
389,65.1,63.7,,,
390,66.4,68.8,,,
391,66.1,75.3,,,
392,66.6,76.7,,,
393,67.1,69.1,,,
394,66.2,65.9,,,
395,65,64.2,,,
396,65.4,66.3,,,
397,65.9,67.1,,,
398,67.7,66.9,,,
399,70.8,66.6,,,
400,69.5,63.5,,,
401,67.1,65.7,,,
402,65.6,65,,,
403,63.5,67.6,,,
404,61.8,68.6,,,
405,61.5,70.3,,,
406,62,70.7,,,
407,62.9,70.1,,,
408,64.5,68.6,,,
409,65.4,67.2,,,
410,66.3,67.2,,,
411,66.3,67.2,,,
412,67.8,68.1,,,
413,69.9,67.9,,,
414,68.8,68.2,,,
415,67.3,67.9,,,
416,65.8,66.1,,,
417,65,62.5,,,
418,64.2,59.2,,,
419,64.6,58.1,,,
420,65.5,55,,,
421,67,52.9,,,
422,69.1,51.9,,,
423,67.4,51.1,,,
424,65.2,51.5,,,
425,63,55,,,
426,60.6,57.9,,,
427,58.2,61.7,,,
428,56.9,64.7,,,
429,54.8,60.6,,,
430,54.6,59,,,
431,55.3,59.2,,,
432,56.6,60.5,,,
433,56.8,63,,,
434,57.9,64,,,
435,56.1,60.8,,,
436,55.6,58.1,,,
437,56.2,56.7,,,
438,58.3,56.1,,,
439,61,56.1,,,
440,64.1,58.7,,,
441,65.6,62.1,,,
442,64.6,65.1,,,
443,65.9,65.8,,,
444,68,66.5,,,
445,69.5,67,,,
446,67.3,69.1,,,
447,67.1,68.2,,,
448,71.5,66.3,,,
449,72,66.8,,,
450,69.3,66.9,,,
451,69.4,63.3,,,
452,68.2,62.8,,,
453,64.5,67.1,,,
454,63.9,70.1,,,
455,63.4,69.7,,,
456,62.3,71.5,,,
457,63,71.6,,,
458,63.8,68.7,,,
459,67,64.4,,,
460,70.2,62.3,,,
461,69.7,59.7,,,
462,73.3,59.9,,,
463,71.5,59.9,,,
464,69.6,62.5,,,
465,64.9,64.5,,,
466,62.1,67.3,,,
467,60.4,66.4,,,
468,60.4,69.2,,,
469,60.6,67.8,,,
470,60.9,63.4,,,
471,62.4,60,,,
472,65.4,57.1,,,
473,69.7,56,,,
474,68.8,55,,,
475,65.5,56,,,
476,61.3,57.7,,,
477,58.3,57.5,,,
478,57.5,59.5,,,
479,56.3,61.9,,,
480,56.3,65.2,,,
481,54.9,66.6,,,
482,56.2,66.1,,,
483,57.8,62.3,,,
484,59.6,60.1,,,
485,63.5,56.9,,,
486,66.1,55.9,,,
487,65.5,54.2,,,
488,63.9,52.8,,,
489,60.3,53.1,,,
490,57.8,52.8,,,
491,57.4,52.2,,,
492,63.9,53.8,,,
493,68.6,52.2,,,
494,67.4,50.2,,,
495,60.7,53,,,
496,62.3,57.2,,,
497,64,59.8,,,
498,63.7,63.2,,,
499,65.4,66,,,
500,65.1,63.1,,,
501,62.2,61.2,,,
502,60,64.9,,,
503,61,65.7,,,
504,64.6,65.7,,,
505,65.2,65.4,,,
506,62.6,65.8,,,
507,61.6,64,,,
508,63.4,64.8,,,
509,64.6,66.9,,,
510,66.4,67.3,,,
511,65.8,64.7,,,
512,67.5,61.2,,,
513,69.2,59.8,,,
514,66.6,59.7,,,
515,67.3,59.8,,,
516,66.6,62.4,,,
517,63.2,64.2,,,
518,60.3,67.2,,,
519,58.3,70.2,,,
520,58.4,69.2,,,
521,61.2,67.3,,,
522,61.4,66.3,,,
523,63.5,68.4,,,
524,65.8,70.2,,,
525,68.1,72.2,,,
526,69.2,70,,,
527,67.7,65.6,,,
528,66.7,63.2,,,
529,67.6,60.6,,,
530,70.6,59.5,,,
531,73.3,61.7,,,
532,72.1,65,,,
533,66.6,66.6,,,
534,61.6,66.7,,,
535,60.3,64.8,,,
536,61.6,65.1,,,
537,62,63.8,,,
538,64,59.3,,,
539,66.2,56.4,,,
540,65.4,54.1,,,
541,63.5,53.3,,,
542,60.1,51.6,,,
543,59,50.9,,,
544,62.2,50.5,,,
545,65.8,50.9,,,
546,65.5,53.3,,,
547,65.3,54,,,
548,64.7,57.1,,,
549,59.9,58.4,,,
550,57.1,60.9,,,
551,55.1,64.2,,,
552,55.8,63.4,,,
553,55.6,64,,,
554,55,61.5,,,
555,54.8,59.9,,,
556,56,59.9,,,
557,55.2,62.1,,,
558,55.3,67,,,
559,59,68,,,
560,62.3,69.1,,,
561,63.9,72.1,,,
562,61.4,71.8,,,
563,62.6,68.6,,,
564,64.1,67.5,,,
565,67.2,66.7,,,
566,70.6,66.4,,,
567,73.9,66,,,
568,72.1,65.3,,,
569,68.7,64.2,,,
570,66.7,63.6,,,
571,68.7,61.7,,,
572,67.7,60.3,,,
573,68,62.1,,,
574,68.2,60.8,,,
575,67.5,63.7,,,
576,66,67.4,,,
577,63.9,65.3,,,
578,62.5,64.8,,,
579,63,66.9,,,
580,64.5,70,,,
581,62.5,69.2,,,
582,61.7,66.1,,,
583,60.7,63,,,
584,63.1,60.9,,,
585,65.9,60.1,,,
586,68.5,62.3,,,
587,68.5,60.9,,,
588,66.7,56.7,,,
589,63.9,54.3,,,
590,61.2,53.9,,,
591,57.2,52.4,,,
592,52.8,50.2,,,
593,50.2,49.9,,,
594,49.9,50.2,,,
595,50.6,49.2,,,
596,49.6,49.2,,,
597,47.8,49.6,,,
598,47.4,49.4,,,
599,47.3,49.7,,,
600,49.6,51,,,
601,49.8,50,,,
602,49.9,53,,,
603,50.1,56.3,,,
604,51.7,58.5,,,
605,53,61.9,,,
606,53.3,64.1,,,
607,54.8,64.9,,,
608,56.7,67,,,
609,58,69.5,,,
610,61,68.8,,,
611,65.6,68.7,,,
612,67.2,70.4,,,
613,67,69.4,,,
614,68.7,66.1,,,
615,70.5,65.2,,,
616,70.7,64.8,,,
617,70.2,65,,,
618,70.4,65,,,
619,70.9,64.5,,,
620,70.5,63.6,,,
621,68.1,61.5,,,
622,66.4,62.9,,,
623,69.1,64.5,,,
624,71.5,60.4,,,
625,67.7,58.8,,,
626,62.2,58.1,,,
627,60.4,58.9,,,
628,58.5,63.2,,,
629,58.5,67.5,,,
630,58.1,65.6,,,
631,59.1,60.8,,,
632,59.3,61.3,,,
633,59,62,,,
634,58.3,64.4,,,
635,57.8,64.7,,,
636,57.5,62.1,,,
637,59.3,62.4,,,
638,60.1,64.7,,,
639,64.2,66.5,,,
640,66.1,66.8,,,
641,64.2,67.9,,,
642,60.3,68,,,
643,60.8,66.1,,,
644,64.4,65.6,,,
645,65.8,67.3,,,
646,67.6,68.4,,,
647,68,65.7,,,
648,67.7,63.8,,,
649,64.4,66,,,
650,64.5,65.2,,,
651,66.9,58.5,,,
652,67.3,57.1,,,
653,64.4,54.8,,,
654,59.8,51.8,,,
655,57.3,50.3,,,
656,54.6,48.2,,,
657,53.6,48.4,,,
658,55.5,48.6,,,
659,55.9,47,,,
660,56.5,46.5,,,
661,60.8,45.1,,,
662,65.1,46.9,,,
663,65.1,48.5,,,
664,60.8,51.6,,,
665,63.3,55.1,,,
666,70.3,57,,,
667,75.4,59.3,,,
668,73.6,63,,,
669,67.7,63.4,,,
670,65.6,62.4,,,
671,62.5,62.9,,,
672,63,68.8,,,
673,64.7,74.6,,,
674,64,71,,,
675,64.8,65.9,,,
676,64,67.7,,,
677,65,69.1,,,
678,65.3,67.3,,,
679,66.8,67.1,,,
680,68,66,,,
681,67.9,64.5,,,
682,67.5,63.7,,,
683,66.6,63.2,,,
684,65.9,61.5,,,
685,64.7,62.5,,,
686,63.4,61.9,,,
687,60.8,63.2,,,
688,58.7,63.5,,,
689,58.1,60.3,,,
690,58.1,61.8,,,
691,57.6,63.3,,,
692,57.7,65.6,,,
693,57.4,67.7,,,
694,58.4,68.8,,,
695,58.7,68.6,,,
696,60.1,68.6,,,
697,62.1,67.1,,,
698,65.9,66.6,,,
699,70.1,66.5,,,
700,75,65.2,,,
701,77.6,65.2,,,
702,74.8,65.1,,,
703,70.3,61.7,,,
704,69.3,59.6,,,
705,67.5,60.7,,,
706,67,63.5,,,
707,66.4,68.1,,,
708,66.8,75.4,,,
709,65.3,80,,,
710,64.2,74.8,,,
711,64.8,72.4,,,
712,65.2,71.4,,,
713,66.3,70.6,,,
714,66.7,68.2,,,
715,66.5,65.4,,,
716,66.9,63.8,,,
717,66.5,62.6,,,
718,68,62.6,,,
719,69.9,62.3,,,
720,69.4,63,,,
721,68.9,64.8,,,
722,68.1,67.3,,,
723,64,66.6,,,
724,65.9,63.4,,,
725,64.8,59.8,,,
726,66.2,61.5,,,
