Tid (s),C1,C2
1,44.8,29.9
2,41.4,29.9
3,55.3,29.9
4,59.7,30.1
5,56.7,30
6,56.7,30.1
7,56.3,30.3
8,56.7,30.1
9,55.5,30.1
10,56.2,30.2
11,58,30.3
12,57.9,31
13,55.6,31.8
14,63.3,32.6
15,61.2,33.5
16,55.4,34
17,58.2,35.2
18,59.5,36.3
19,58.7,36.6
20,61.2,36.6
21,71.2,36.3
22,68.4,32.6
23,68.4,46.3
24,70.3,55.2
25,70.3,58.6
26,66,62.7
27,64.5,67.5
28,65.7,67.7
29,66.1,67.5
30,71,69.2
31,67,69.5
32,66.3,70.4
33,66.7,69.1
34,65.2,68.2
35,66,66.2
36,70,65.6
37,70.9,66.5
38,70.6,68.6
39,65.8,63.1
40,63.7,73.1
41,62.7,67.8
42,62.6,70.5
43,61.1,70.2
44,64.1,72.2
45,66.6,70.6
46,70.4,65.6
47,70.1,61.5
48,66.7,60.9
49,61.7,61
50,62.4,64.1
51,67.9,64
52,69.6,67.3
53,68.9,70.6
54,63.8,70.4
55,60.1,66.4
56,60.6,64.6
57,59.7,67.6
58,60.6,68.1
59,62.9,65
60,67,63.9
61,68.7,63
62,71.1,66.5
63,68.9,64.7
64,65.9,66.4
65,63,67.4
66,63.9,61.9
67,63.1,62.2
68,62.6,65.1
69,60.2,67.8
70,62.1,68.5
71,62.7,66.2
72,61.5,63.6
73,60.7,59.5
74,58.5,58.3
75,57.8,59.6
76,58,60.2
77,57.3,62
78,56.4,61.5
79,58.5,60.3
80,58.2,57.3
81,59.1,58.6
82,58.8,55.4
83,57.3,57.9
84,58.7,54.3
85,60.1,55.2
86,60.2,55.3
87,59,59.2
88,61.7,58.1
89,62.4,54.9
90,63.8,55.3
91,66,62.3
92,64.8,59.3
93,70.6,58
94,63.6,59.9
95,64.2,62.2
96,63,59.9
97,65.2,63
98,63.4,63.8
99,69.8,68.4
100,69.6,67.5
101,73,65.8
102,72.9,64.2
103,70.3,63.6
104,69.3,63.9
105,71.5,63.1
106,70.8,66.4
107,64.8,65.1
