Tid (s),C1,C2
1,42.7,29.7
2,39.5,29.7
3,52.7,29.7
4,57.1,29.8
5,55.9,29.8
6,55.4,29.8
7,54.6,29.9
8,55.2,29.9
9,55.1,29.9
10,55.4,30
11,56.4,30.1
12,55.8,30.6
13,53.9,31.2
14,58.6,31.8
15,55.9,32.4
16,53.5,32.5
17,55.3,33.8
18,55.6,34.7
19,55.7,33.9
20,59.1,34.8
21,66.8,33.9
22,66.4,30.8
23,66.8,42.4
24,69.5,52.3
25,68.2,56.7
26,63.6,60.2
27,62.4,62.2
28,62.4,64
29,63,64.4
30,65.8,66.2
31,64.3,67.3
32,61.9,69.3
33,64.2,67.2
34,63.3,65.1
35,64.8,63.7
36,67.5,62.5
37,70.1,63.6
38,67.8,62.9
39,63.6,61.3
40,61.7,66.5
41,61.5,66.3
42,61,67.4
43,60.3,68.8
44,62,71.3
45,64.9,67
46,68.7,62.7
47,68.2,60.2
48,63.6,58.8
49,59.7,59.1
50,61.1,62
51,66.1,62.6
52,69.1,66.2
53,66,69.3
54,60.8,66.8
55,59.3,64.8
56,58.9,64
57,58.7,66.3
58,60.1,66.6
59,61.7,63.8
60,65.6,61.7
61,68.2,61.3
62,70.2,62.9
63,66.5,62.2
64,62.9,62.1
65,61,61.2
66,60.2,60.7
67,58.9,61.5
68,59,63.8
69,57,66.6
70,58.8,67.2
71,59.9,64.3
72,59.2,59.9
73,58.3,57.9
74,56.4,56.9
75,55.7,57.2
76,55.6,58
77,55.8,58.3
78,54.7,55.7
79,56.3,57.4
80,56.7,55.7
81,57.2,56.1
82,56.4,54
83,55.6,54.1
84,56.8,52.3
85,58.6,53.4
86,58.6,53.1
87,56.9,54.8
88,59.6,53.7
89,60.5,53
90,61.4,54.1
91,62.5,58
92,62.1,55.6
93,65.9,55.7
94,61.9,56.5
95,62.6,59.5
96,60.3,58
97,61.9,59.6
98,62.3,60.2
99,66.2,63.5
100,68.2,62
101,71.2,62.3
102,69.9,61.8
103,68.7,61.4
104,67.2,60.3
105,68.8,61.3
106,65.2,63.3
107,62.7,63.9
108,61.6,67.2
109,61.3,69.2
110,60.2,68.4
111,60.3,66.3
112,59.2,62.9
113,59.4,62.8
114,58.6,61.4
115,58.5,61.9
116,61.4,62.6
117,65.4,61.4
118,70.4,61.1
119,71.1,60.5
120,68.6,63.1
121,68.4,62.7
122,69.6,64.8
123,69.3,65.4
124,68.7,68.7
125,66.4,70.9
126,65.5,65.9
127,66,61.9
128,63.1,62
129,62.9,63.6
130,61.1,67.4
131,61.7,68.7
132,61.8,65.2
133,65.2,60.8
134,67.2,58.6
135,70.2,58.5
136,71.3,57.3
137,68.4,57.9
138,64.6,58.8
139,62.5,62.9
140,61.8,64
141,64.6,69.5
142,60.8,70.2
143,60.1,68.7
144,62.4,65.7
145,61.6,61.2
146,64.9,60
147,62.4,61
148,64.3,60.3
149,61.3,61.8
150,59.5,60.5
151,59.6,60.2
152,57.7,60.4
153,57.2,60.4
154,55.2,59.7
155,54.8,63.2
156,57,60.1
157,59.3,61.2
158,63.1,61.6
159,67.2,62.6
160,69.3,61.4
161,70.3,62
162,69.5,63.6
163,66,65.2
164,65.9,62.4
165,69,61.4
166,68.8,64.5
167,64.1,65.9
168,60.5,67.9
169,60.1,68.8
170,60.8,67.1
171,60.9,65.8
172,63.7,65.5
173,69.4,68.6
174,69.9,68.8
175,72.6,65
176,68.1,66
177,65.5,66.1
178,66.4,65.2
179,68.5,63.8
180,70.3,65.7
181,70.7,68.8
182,71.6,70.8
183,70.3,69.5
184,66.9,68.8
185,64.1,65.5
186,64,67.3
187,62.9,67.2
188,62.4,68.9
189,62.4,68.9
190,63.9,69.8
191,64.5,69.4
192,63.4,66.1
193,62.8,63.7
194,62.6,64
195,62.7,65
196,59.9,64.9
197,60.7,65.1
198,61.6,67.8
199,61.3,66.4
200,63.1,64.9
201,65.8,62.8
202,66.7,63.1
203,65.1,61.9
204,63.8,61.1
205,63.1,62.8
206,62.7,63
207,65.4,64.6
208,61.8,65.8
209,64.9,63.9
210,62.4,65
211,65.6,73.9
212,64.2,66.7
213,62.9,65.3
214,60.7,64.3
215,58.6,62.9
216,57.8,60.8
217,55,64
218,56.7,62.8
219,58.4,60.4
220,56,60.5
221,56,59.2
222,57,57.8
223,58.9,58.4
224,56.7,57.8
225,59.7,57.6
226,59,57.2
227,59.5,57.2
228,59.3,57.1
229,58.8,59.3
230,58.7,56
231,59.6,56.5
232,60.2,57.5
233,59.3,59.4
234,60.3,59.3
235,61.3,57.3
236,59.7,58.6
237,61.3,57.9
238,62.3,58.3
239,60.6,58.9
240,60.6,60.1
241,59.8,59.2
242,57.1,59.2
243,56.7,63.5
244,56.3,61.5
245,57.3,60.2
246,55.9,59.5
247,57.3,61.6
248,61.6,61.3
249,56.1,59.6
250,57.5,60.1
251,55.4,60.2
252,57.9,59.7
253,56.4,59.8
254,59.3,63.2
255,60.7,63
256,59,62.2
257,68.2,60.7
258,59.6,59.8
259,59.8,60.4
260,62.2,60.2
261,60.2,60.9
262,62.5,62
263,63.2,61
264,66.6,60.6
265,61.9,61.5
266,61.5,61.9
267,62.2,60.3
268,62.3,60.4
269,64.3,58.7
270,62.4,58.9
271,62.4,59.7
272,62.3,59.1
273,62.6,58.9
274,60.4,60.5
275,63,65.5
276,63.5,62.8
277,69.1,63.4
278,60.8,61.7
279,59.8,62.4
280,63.3,62.3
281,62.4,62.3
282,61.8,65.6
283,62.8,64.8
284,64.6,63.9
285,60,63.7
286,61.3,62.3
287,62.3,58.7
288,60,59.2
289,60.7,56.8
290,59.9,59.3
291,62.4,57.9
292,60.4,59.5
293,59.8,59.3
294,60,59.5
295,61.8,60.4
296,60.6,60.3
297,62.8,65.8
298,60.7,68.7
299,61.1,63.7
300,63.8,62.2
301,61.8,61.5
302,60.6,61.2
303,59.4,61.5
304,69.3,63
305,56.5,61.5
306,56.2,61.7
307,55.1,59.4
308,55.8,61.2
309,58.2,58.1
310,61.2,60
311,55.1,59.8
312,53.7,59.9
313,54.5,58.6
314,55.1,60.3
315,54.4,60
316,55.4,60.3
317,53.8,60.3
318,57,60
319,57.3,59.4
320,58.1,60.3
321,57.4,61
322,59.1,63.3
323,59.7,63.9
324,55.7,62.3
325,57.7,63.2
326,56.9,61.3
327,56.8,60.6
328,55.8,61.4
329,59,59.5
330,58.4,59.5
331,58.9,59.6
332,57.8,59.9
333,59.3,57
334,59.4,59.8
335,60.9,63
336,64,61.1
337,68.1,66.1
338,69.4,63.3
339,69.7,72.5
340,65.2,71.5
341,63,63.9
342,62.9,67.3
343,61.4,66.5
344,61.5,69.8
345,64.5,70.9
346,68.7,73.3
347,69,71.3
348,64.9,68.7
349,63.7,68.1
350,64.3,66.7
351,66.6,64.3
352,69.3,64.2
353,68.2,64.7
354,64.3,66.8
355,62.7,69
356,64.2,67.8
357,64.2,64.5
358,65.4,63.9
359,68.7,65
360,73.7,66.7
361,75.2,68.7
362,70,68.5
363,65.4,68.7
364,65.3,67.9
365,68.2,71
366,67.9,73.7
367,63.8,71.4
368,63.8,67.3
369,62.2,64.1
370,60.9,65.8
371,60.6,67.9
372,61.6,68.3
373,59.1,65
374,58.9,63.2
375,57.4,62.4
376,55.9,61.3
377,56.3,62.1
378,57,64.7
379,54.7,60.9
380,54.6,61.2
381,53.8,61
382,53.8,61.3
383,57.5,60.7
384,61.9,60.7
385,56.2,61.3
386,56.5,62
387,58.2,60.9
388,61,58.8
389,65.6,59
390,68.7,58.6
391,65.8,61.2
392,58,58.1
393,60.3,58.5
394,60.8,61.4
395,59.3,64.9
396,64.5,65.6
397,68.7,63.2
398,68.5,60.2
399,64,60.4
400,61.6,61.2
401,59.7,63.1
402,59.8,65.4
403,59.3,68.6
404,58.9,67.4
405,58.4,63.1
406,61.1,63.7
407,65.6,60.7
408,65.6,59.4
409,62.6,58.3
410,60.8,58
411,60.8,59.3
412,62.5,61
413,65.4,64.7
414,64.8,64.5
415,62.9,62.5
416,61.9,61.1
417,65.5,60.3
418,66.4,62.1
419,66.1,62.6
420,69.3,64.4
421,63.6,63.9
422,64.8,64.9
423,64.7,61.2
424,65.9,59.6
425,65.6,61.8
426,64.9,62.3
427,63.3,62.2
428,64.8,60.5
429,64.6,61.2
430,64.5,61.1
431,61.5,60
432,66.8,60.1
433,63.4,59.4
434,60.5,61
435,61,60.4
436,60.9,60
437,59.1,62.5
438,61.8,62.4
439,60.6,61.7
440,56.6,61.2
441,58.5,60.6
442,61.9,60.4
443,57.7,62.1
444,56.8,61.5
445,58.4,63.6
446,57.9,59.9
447,58,59.8
448,59.9,57.4
449,59.3,58.4
450,59.2,55.4
451,59.4,56.3
452,61,55.8
453,58.7,55.2
454,57.3,53.7
455,58.2,54.5
456,58.6,55
457,58.8,54
458,58.4,53.1
459,57.5,53.5
460,55.5,54.6
461,55.9,52.8
462,56,54.2
463,54.7,54.4
464,55,55.2
465,53.9,55.7
466,53.8,55.2
467,53.3,55.2
468,54.5,57.1
469,53.4,56.2
470,54.1,55.5
471,52.9,57.2
472,53.5,56
473,53.7,55.5
474,55.4,56.1
475,55.2,56.4
476,56.3,56.7
477,58.8,54.6
478,60,54.7
479,58.7,53.6
480,60.6,54.1
481,59.3,53.9
482,55.8,52.8
483,55,53.8
484,55.8,55.1
485,54.6,54.1
486,57.6,55.1
487,54.6,57.1
488,55.5,57.7
489,53.5,56.1
490,53.3,56.8
491,56.2,56.6
492,54.8,58.5
493,55.3,57.9
494,57.4,60.9
495,54.1,57.3
496,55.7,59.6
497,58.5,59.9
498,56.1,65.4
499,57.5,64.6
500,57.5,64.1
501,60.8,63.3
502,60,63.7
503,56.4,65.5
504,55.6,68.3
505,54.7,66.8
506,54.7,64.2
507,56.1,67.2
508,56.6,67.1
509,59.6,66.2
510,59,65.4
511,58,64.9
512,60,64.7
513,62.1,65.1
514,64.4,63.2
515,62.3,62.3
516,62.7,61
517,59.4,60.1
518,63.6,59.7
519,62.2,59.7
520,64.4,59.7
521,68,59.7
522,69.7,60.3
523,70,59.5
524,68,60.8
525,63.9,59.8
526,61.1,59.9
527,60,62.4
528,59.4,63.7
529,58,65.8
530,58.7,68.2
531,61.3,68
532,65.6,68
533,68.9,62.9
534,68.4,60.5
535,63.9,61.4
536,60.4,58.8
537,58.7,57.4
538,58.2,58.6
539,58.6,59.7
540,61.1,62.5
541,65,66.2
542,68.5,68.3
543,69.1,65.8
544,65.9,61.9
545,64.3,60.2
546,65.5,59.3
547,64.5,59
548,66.4,60.4
549,65.4,63.7
550,63.8,66.1
551,61.1,68.5
552,59.9,66.1
553,57.4,62.2
554,58.5,59.9
555,57.4,57.7
556,58.6,56.8
557,57.8,58.3
558,59.2,58.4
559,57.9,57.2
560,60,57.4
561,60.6,56.2
562,57.8,54.6
563,56.4,54.7
564,56.6,54.6
565,55.8,54.5
566,56.4,53.8
567,57.1,53.6
568,62.3,52.2
569,58.6,52.5
570,58.2,52.7
571,56.6,56.2
572,57.2,55.9
573,56.5,57.4
574,58.2,55.8
575,57.5,56.2
576,57.5,58.3
577,57.5,58.5
578,59.7,57.3
579,61.5,61
580,59.1,61
581,61.6,59.9
582,65.2,63.9
583,68.8,62.3
584,68.1,62.8
585,65.1,62.3
586,62.5,62.1
587,61,63.9
588,60.3,64.7
589,58.9,64.2
590,58.4,63.6
591,57.1,61.6
592,60.3,60.2
593,58.9,59.3
594,59.3,59.7
595,59.5,58.4
596,58.2,60.8
597,61.4,58.8
598,61.4,60.9
599,62.7,62.5
600,59.2,59.5
601,58.2,65.5
602,57.2,61.3
603,54,59.7
604,53.2,56.9
605,55.1,57.4
606,53.1,55.3
607,51.6,54.4
608,51.3,54.8
609,54,53.4
610,53.5,53.8
611,52.4,53.5
612,54.1,57.7
613,53.3,54.7
614,54.1,56.8
615,54.4,54.3
616,53.5,56.9
617,53.6,57.2
618,54.4,54.8
619,54.8,57.4
620,54,55.3
621,53.7,55.6
622,55.6,58.4
623,55.6,57.6
624,56.1,58.7
625,56.6,59.4
626,56.5,57.9
627,57.1,59.7
628,57.4,59.6
629,56.4,59
630,56.7,62.3
631,57.3,63
632,58.4,65.6
633,59.7,62.7
634,63.4,64.6
635,65.2,63
636,66.9,61.3
637,66.1,58.7
638,63.4,61.1
639,61.3,59.5
640,59.1,57.8
641,58.4,60.9
642,57.3,63.7
643,58.7,68.5
644,60.2,68.7
645,63.7,68.4
646,68.8,67.6
647,70.2,64.6
648,70.6,63.2
649,68.5,64.2
650,68.6,65.5
651,65.4,63.9
652,63.2,64.9
653,62,66.9
654,62.4,67.6
655,60.3,67
656,61.2,66.9
657,61.6,66.2
658,62.3,64.7
659,60.8,62.9
660,60.1,62.9
661,62.5,61.1
662,60.5,61.1
663,60.6,62.1
664,61.6,58.9
665,60.8,58.2
666,59.4,58.6
667,61.4,57.3
668,61.9,56.4
669,59.6,55.6
670,59,54.6
671,62.2,53.1
672,61.4,51.1
673,62.8,51.3
674,63.2,53.2
675,64.9,52
676,67.1,53.4
677,67.9,56.4
678,68.6,54.4
679,64.9,57.1
680,61.5,54.6
681,59.4,57.4
682,58.8,59.1
683,58.6,61.8
684,56.5,65.9
685,56.3,67.3
686,56.2,67.7
687,58.1,65
688,61.7,60.9
689,67.3,58.6
690,71.5,57.2
691,69.8,56.8
692,64.1,57.5
693,60.9,58.3
694,59,59.1
695,57.8,62.6
696,58.1,66.8
697,60.4,71.2
698,63.2,69.3
699,66.6,63.8
700,68.6,61.4
701,67.2,59.9
702,64.1,60.6
703,61.3,59.8
704,63.9,60.3
705,60.4,60.2
706,59,61.8
707,59.6,65.6
708,60.4,67.9
709,58.6,67.3
710,59.2,64.7
711,62.6,61.5
712,63.2,59.8
713,61.3,58.5
714,57.7,58.9
715,59.2,65.1
716,56.2,59.4
717,56.5,60.1
718,57.6,60.1
719,56.3,60.1
720,55.7,60
721,54.6,60.1
722,55,59.2
723,54.2,59.4
724,53.9,59.7
